TrafficSend,TotalBytesReceived,AveragePower,TotalTimeTaken,TotalEnergy
160.0,160000000,20.7204122924,14.5454,301.386684957
111.0,111000000,20.7191242525,14.2954,296.188168839
189.0,189000000,20.7211757475,16.5413,342.755184392
83.0,83000000,20.7183870432,1.50128,31.1041001002
154.0,154000000,20.7202541528,13.8805,287.607487768
134.0,134000000,20.719727907,12.7613,264.410663739
84.0,84000000,20.718413289,0.449047,9.3035413322
153.0,153000000,20.7202289037,15.5513,322.226495749
112.0,112000000,20.719151495,3.09703,64.1678337546
114.0,114000000,20.7192016611,9.46842,196.178103392
75.0,75000000,20.718176412,1.50128,31.1037838837
108.0,108000000,20.719044186,12.1498,251.732243052
113.0,113000000,20.7191757475,13.0469,270.32101406
102.0,102000000,20.7188870432,12.2744,254.311907123
89.0,89000000,20.7185448505,2.91586,60.4123761878
95.0,95000000,20.7187023256,4.33044,89.7210972988
40.0,40000000,20.7172541528,1.33171,27.5893745279
128.0,128000000,20.7195704319,9.28725,192.427830494
139.0,139000000,20.7198607973,8.05385,166.874650883
50.0,50000000,20.7175169435,6.11736,126.73650945
86.0,86000000,20.7184664452,12.4107,257.130671511
121.0,121000000,20.7193877076,15.1791,314.501657953
83.0,83000000,20.7183860465,4.51161,93.4732776713
110.0,110000000,20.7190960133,10.3786,215.035209884
101.0,101000000,20.7188598007,6.80885,141.071608554
40.0,40000000,20.7172534884,4.06238,84.1613562261
145.0,145000000,20.7200189369,8.22342,170.389418126
112.0,112000000,20.7191488372,10.0003,207.197704117
53.0,53000000,20.7175953488,4.33044,89.7163036024
90.0,90000000,20.718569103,8.2206,170.319069168
143.0,143000000,20.7199647841,12.1164,251.05138131
130.0,130000000,20.7196229236,9.28725,192.428317997
95.0,95000000,20.7187016611,5.57544,115.51587799
155.0,155000000,20.7202820598,10.5207,217.991871467
162.0,162000000,20.7204651163,13.7122,284.123161767
78.0,78000000,20.7182548173,10.9264,226.375939435
87.0,87000000,20.7184923588,3.81011,78.9397349212
55.0,55000000,20.7176488372,3.97969,82.449819901
119.0,119000000,20.7193348837,4.51161,93.4775584547
80.0,80000000,20.7183059801,7.72753,160.10133101
