BytesSend,TotalBytesReceived,AveragePower,TotalTimeTaken,TotalEnergy
158.0,158.0,20.7169390102,139.883,2897.94757956
162.0,162.0,20.7170451258,143.421,2971.25932899
46.0,46.0,20.7139680053,40.8335,845.823812546
176.0,176.0,20.7174164972,155.802,3227.8149251
194.0,194.0,20.7178939843,171.721,3557.69747288
184.0,184.0,20.7176287285,162.877,3374.42521442
152.0,152.0,20.71677987,134.577,2788.00208457
14.0,14.0,20.7131191635,12.5336,259.609950347
154.0,154.0,20.7168328945,136.346,2824.65729784
154.0,154.0,20.7168328945,136.346,2824.65729784
124.0,124.0,20.7160371105,109.815,2274.93161529
144.0,144.0,20.7165676387,127.502,2641.40380707
166.0,166.0,20.7171512248,146.958,3044.55110969
2.0,2.0,20.7128008332,1.92114,39.7921901927
126.0,126.0,20.7160901516,111.583,2311.56348739
180.0,180.0,20.7175226129,159.34,3301.13005314
192.0,192.0,20.7178409265,169.952,3521.03850114
32.0,32.0,20.7135966339,28.4523,589.349465506
124.0,124.0,20.7160371105,109.815,2274.93161529
104.0,104.0,20.7155065822,92.1273,1908.46368955
136.0,136.0,20.7163554408,120.427,2494.80853666
14.0,14.0,20.7131191635,12.5336,259.609950347
72.0,72.0,20.7146577237,63.8273,1322.16067293
144.0,144.0,20.7165676387,127.502,2641.40380707
70.0,70.0,20.7146046492,62.0586,1285.51936408
156.0,156.0,20.716885969,138.115,2861.31270561
56.0,56.0,20.7142332944,49.6773,1029.02718164
148.0,148.0,20.7166737544,131.04,2714.71292877
148.0,148.0,20.7166737544,131.04,2714.71292877
30.0,30.0,20.7135435761,26.6835,552.709840012
144.0,144.0,20.7165676387,127.502,2641.40380707
46.0,46.0,20.7139680053,40.8335,845.823812546
68.0,68.0,20.7145516081,60.2898,1248.87617354
12.0,12.0,20.7130661056,10.7648,222.972014014
154.0,154.0,20.7168328945,136.346,2824.65729784
102.0,102.0,20.7154535077,90.3585,1871.81730578
190.0,190.0,20.7177878687,168.183,3484.37971712
88.0,88.0,20.715082153,77.9773,1615.30617557
28.0,28.0,20.7134905516,24.9148,516.072474394
72.0,72.0,20.7146577237,63.8273,1322.16067293
