TrafficSend,TotalBytesReceived,AveragePower,TotalTimeTaken,TotalEnergy
79.0,79000000,62.1560832669,37.1131,2306.80493389
81.0,81000000,62.1562729084,38.0191,2363.12555533
123.0,123000000,62.160250996,57.2875,3561.00537893
88.0,88000000,62.156936255,41.2143,2561.75461789
97.0,97000000,62.1577888446,45.3641,2819.73214893
92.0,92000000,62.1573155378,43.0748,2677.41393533
76.0,76000000,62.1557996016,35.7299,2220.82050418
107.0,107000000,62.158736255,49.9425,3104.36268541
77.0,77000000,62.1558944223,36.1586,2247.47012406
77.0,77000000,62.1558944223,36.1586,2247.47012406
162.0,162000000,62.1639454183,75.2212,4676.0465711
172.0,172000000,62.1648924303,79.7997,4960.73976647
83.0,83000000,62.1564625498,38.9251,2419.4465204
101.0,101000000,62.1581673307,47.2246,2935.39458892
163.0,163000000,62.164040239,75.6985,4705.72460004
90.0,90000000,62.1571262948,42.1689,2621.09764301
196.0,196000000,62.1671657371,90.8171,5645.84170746
116.0,116000000,62.1595884462,54.0923,3362.35510611
162.0,162000000,62.1639454183,75.2212,4676.0465711
152.0,152000000,62.162998008,70.6428,4391.36823568
168.0,168000000,62.1645143426,77.9877,4848.0674952
107.0,107000000,62.158736255,49.9425,3104.36268541
36.0,36000000,62.1520103586,17.3675,1079.4250399
172.0,172000000,62.1648924303,79.7997,4960.73976647
135.0,135000000,62.1613876494,62.8205,3905.00945283
78.0,78000000,62.155989243,36.6359,2277.14060631
28.0,28000000,62.1512533865,13.695,851.161415127
174.0,174000000,62.1650816733,80.7056,5017.07021549
74.0,74000000,62.1556099602,34.8239,2164.50074569
115.0,115000000,62.1594940239,53.615,3332.68127209
72.0,72000000,62.1554203187,33.8693,2105.1605774
23.0,23000000,62.1507800797,11.3572,705.858839521
134.0,134000000,62.1612932271,62.3432,3875.33393592
106.0,106000000,62.1586406375,49.5138,3077.71050079
177.0,177000000,62.1653657371,82.0889,5103.08649145
151.0,151000000,62.1629031873,70.1655,4361.69118359
195.0,195000000,62.1670713147,90.3884,5619.18210883
44.0,44000000,62.1527693227,21.04,1307.69426655
14.0,14000000,62.1499266932,7.25601,450.960489585
136.0,136000000,62.1614820717,63.2978,3934.68505988
