BytesSend,AveragePower,TotalTimeTaken,TotalEnergy
392.0,20.7220130448,326.94338,6774.92498527
400.0,20.7220766821,333.614053,6913.17598851
168.0,20.7177889444,140.163983,2903.8878174
428.0,20.7222798879,356.961545,7397.05704472
464.0,20.7225052067,386.97971,8019.18905537
444.0,20.7223844336,370.302892,7673.55888491
380.0,20.7219130462,316.937235,6567.54582478
104.0,20.7132395161,86.798326,1797.87451604
384.0,20.7219472213,320.272706,6636.67411017
384.0,20.7219472213,320.272706,6636.67411017
324.0,20.7213477151,270.242386,5599.78644766
364.0,20.7217691535,303.596022,6291.0466838
408.0,20.7221374963,340.284861,7051.42967756
80.0,20.709663024,66.786305,1383.12187116
328.0,20.7213947003,273.577857,5668.91475616
436.0,20.7223331225,363.632219,7535.30797619
460.0,20.7224818194,383.644239,7950.06076778
140.0,20.7163112965,116.816491,2420.00679212
324.0,20.7213477151,270.242386,5599.78644766
284.0,20.7208076192,236.889018,4908.53176909
348.0,20.7216123493,290.254541,6014.54208122
104.0,20.7132395161,86.798326,1797.87451604
220.0,20.7195356306,183.523361,3802.51881729
364.0,20.7217691535,303.596022,6291.0466838
216.0,20.7194306604,180.188024,3733.3932691
388.0,20.7219805809,323.608043,6705.79958286
188.0,20.7185740516,156.840667,3249.51497355
372.0,20.721842894,310.266696,6429.29772974
372.0,20.721842894,310.266696,6429.29772974
136.0,20.7160493392,113.481154,2350.88118533
364.0,20.7217691535,303.596022,6291.0466838
168.0,20.7177889444,140.163983,2903.8878174
212.0,20.7193226964,176.852687,3664.26789169
100.0,20.7127668862,83.462989,1728.74943478
384.0,20.7219472213,320.272706,6636.67411017
280.0,20.7207453767,233.553681,4839.40635579
456.0,20.7224581832,380.308902,7880.93531841
252.0,20.7202525327,210.206189,4355.52532002
132.0,20.715771675,110.145683,2281.75282001
220.0,20.7195356306,183.523361,3802.51881729
