BytesSend,AveragePower,TotalTimeTaken,TotalEnergy
7.9e-05,41.4324,0.120081,4.9752440244
8.1e-05,41.4324,0.120082,4.9752854568
0.000123,41.4324,0.120092,4.9756997808
8.8e-05,41.4324,0.120084,4.9753683216
9.7e-05,41.4324,0.120086,4.9754511864
9.2e-05,41.4324,0.120084,4.9753683216
7.6e-05,41.4324,0.120081,4.9752440244
0.000107,41.4324,0.120088,4.9755340512
7.7e-05,41.4324,0.120081,4.9752440244
7.7e-05,41.4324,0.120081,4.9752440244
0.000162,41.4324,0.120101,4.9760726724
0.000172,41.4324,0.120104,4.9761969696
8.3e-05,41.4324,0.120082,4.9752854568
0.000101,41.4324,0.120087,4.9754926188
0.000163,41.4324,0.120102,4.9761141048
9e-05,41.4324,0.120084,4.9753683216
0.000196,41.4324,0.120109,4.9764041316
0.000116,41.4324,0.12009,4.975616916
0.000162,41.4324,0.120101,4.9760726724
0.000152,41.4324,0.120099,4.9759898076
0.000168,41.4324,0.120103,4.9761555372
0.000107,41.4324,0.120088,4.9755340512
3.6e-05,41.4324,0.120071,4.9748297004
0.000172,41.4324,0.120104,4.9761969696
0.000135,41.4324,0.120095,4.975824078
7.8e-05,41.4324,0.120081,4.9752440244
2.8e-05,41.4324,0.120069,4.9747468356
0.000174,41.4324,0.120104,4.9761969696
7.4e-05,41.4324,0.12008,4.975202592
0.000115,41.4324,0.12009,4.975616916
7.2e-05,41.4324,0.12008,4.975202592
2.3e-05,41.4324,0.120068,4.9747054032
0.000134,41.4324,0.120095,4.975824078
0.000106,41.4324,0.120088,4.9755340512
0.000177,41.4324,0.120105,4.976238402
0.000151,41.4324,0.120099,4.9759898076
0.000195,41.4324,0.120109,4.9764041316
4.4e-05,41.4324,0.120073,4.9749125652
1.4e-05,41.4324,0.120066,4.9746225384
0.000136,41.4324,0.120095,4.975824078
