BytesSend, SgAveragePower, SgTransferTime, SgTotalEnergy
7.9e-05,63.902700,0.030007,1.917505
8.1e-05,63.902700,0.030007,1.917516
0.000123,63.902700,0.030010,1.917741
8.8e-05,63.902700,0.030007,1.917553
9.7e-05,63.902700,0.030008,1.917602
9.2e-05,63.902700,0.030008,1.917575
7.6e-05,63.902700,0.030006,1.917489
0.000107,63.902700,0.030009,1.917655
7.7e-05,63.902700,0.030006,1.917494
7.7e-05,63.902700,0.030006,1.917494
0.000162,63.902700,0.030014,1.917951
0.000172,63.902700,0.030014,1.918004
8.3e-05,63.902700,0.030007,1.917527
0.000101,63.902700,0.030008,1.917623
0.000163,63.902700,0.030014,1.917956
9e-05,63.902700,0.030008,1.917564
0.000196,63.902700,0.030016,1.918133
0.000116,63.902700,0.030010,1.917704
0.000162,63.902700,0.030014,1.917951
0.000152,63.902700,0.030013,1.917897
0.000168,63.902700,0.030014,1.917983
0.000107,63.902700,0.030009,1.917655
3.6e-05,63.902700,0.030003,1.917274
0.000172,63.902700,0.030014,1.918004
0.000135,63.902700,0.030011,1.917806
7.8e-05,63.902700,0.030007,1.917500
2.8e-05,63.902700,0.030002,1.917231
0.000174,63.902700,0.030015,1.918015
7.4e-05,63.902700,0.030006,1.917478
0.000115,63.902700,0.030010,1.917698
7.2e-05,63.902700,0.030006,1.917467
2.3e-05,63.902700,0.030002,1.917204
0.000134,63.902700,0.030011,1.917800
0.000106,63.902700,0.030009,1.917650
0.000177,63.902700,0.030015,1.918031
0.000151,63.902700,0.030013,1.917892
0.000195,63.902700,0.030016,1.918128
4.4e-05,63.902700,0.030004,1.917317
1.4e-05,63.902700,0.030001,1.917156
0.000136,63.902700,0.030011,1.917811
