BytesSend,AveragePower,TotalTimeTaken,TotalEnergy
98.0,62.1374099757,82.170386,5105.85496274
100.0,62.1381620155,83.838055,5209.54264465
142.0,62.1491247267,118.859225,7386.99679944
107.0,62.1405852285,89.674928,5572.45250625
116.0,62.1432706276,97.179469,6039.05004151
111.0,62.1418335841,93.010264,5779.8283471
95.0,62.1362188206,79.66885,4950.32109678
126.0,62.1458072951,105.517811,6557.48954861
96.0,62.1366266294,80.502718,5002.16733102
96.0,62.1366266294,80.502718,5002.16733102
181.0,62.1547623184,151.378826,9408.91495006
191.0,62.1558376526,159.717235,9927.35852898
102.0,62.138891993,85.505757,5313.232999
120.0,62.1443363501,100.514806,6246.42591223
182.0,62.1548746141,152.212694,9460.76091025
109.0,62.1412177887,91.342596,5676.14015142
350.0,62.1533679654,113.022319,7024.71778111
181.0,62.1547623184,151.378826,9408.91495006
171.0,62.1535610975,143.040484,8890.47546171
187.0,62.1554216432,156.381865,9719.98075643
126.0,62.1458072951,105.517811,6557.48954861
55.0,62.1080455232,46.315382,2876.55785368
191.0,62.1558376526,159.717235,9927.35852898
154.0,62.15116218,128.865235,8009.12411985
97.0,62.137018193,81.336552,5054.01081138
47.0,62.096685372,39.644708,2461.80495934
193.0,62.1560399938,161.384903,10031.0464853
93.0,62.1353851377,78.001215,4846.63553524
134.0,62.1475639483,112.188518,6972.24309667
91.0,62.1345056974,76.333547,4742.94721098
42.0,62.0874759155,35.475537,2202.58654908
153.0,62.1510046857,128.031435,7957.2823166
125.0,62.1455711079,104.683977,6505.64553651
196.0,62.1563350214,163.886406,10186.5783568
170.0,62.1534326538,142.206616,8838.62933048
277.0,62.1472005418,52.986089,3292.93709901
33.0,62.0639283929,27.970962,1735.98778265
155.0,62.1513170008,129.69907,8060.96801427
