Bandwidth,AveragePowerNs3,TotalTimeTakenNs3,TotalEnergyNs3
10,20.718970701,166.865944,3457.29060473
20,20.7215352096,83.499969,1730.24754763
30,20.7243,55.715817,1154.67130625
40,20.7268972521,41.826964,866.943185195
50,20.7295777612,33.493569,694.307543085
60,20.7321944544,27.940269,579.263090016
70,20.7348620833,23.974431,497.106520311
80,20.7375912114,21.000053,435.490514532
90,20.7400770053,18.686846,387.566625027
100,20.7427602374,16.836001,349.225132099
110,20.7451216129,15.480376,321.142282733
120,20.7451516129,15.473678,321.003796119
130,20.7451780645,15.468011,320.886642499
140,20.7451906452,15.463152,320.786036215
150,20.7451709677,15.458942,320.69839477
160,20.7451732258,15.455258,320.62200446
170,20.7451764516,15.452008,320.554632492
180,20.7450300971,15.449119,320.492438628
190,20.7450433657,15.446533,320.438996935
200,20.7450559871,15.444206,320.390918146
210,20.7450711974,15.442101,320.347484683
220,20.745081877,15.440188,320.307964257
230,20.7450919094,15.43844,320.271856738
240,20.7450987055,15.436839,320.238748756
250,20.7451071197,15.435365,320.208300357
260,20.7451139159,15.434005,320.180191903
270,20.7451200647,15.432746,320.154168698
280,20.7451304207,15.431576,320.130056717
290,20.7451368932,15.430487,320.107565144
300,20.7451394822,15.429471,320.086528032
310,20.7451417476,15.42852,320.066834355
320,20.7451391586,15.427629,320.048310492
330,20.7451394822,15.426792,320.030951803
340,20.7451420712,15.426004,320.014644571
350,20.7451488673,15.425261,319.999335762
360,20.7451550162,15.424559,319.984867511
370,20.7451588997,15.423895,319.971152627
380,20.7451653722,15.423266,319.958203749
390,20.7451702265,15.42267,319.945914498
400,20.7451731392,15.422102,319.93417616
410,20.7451802589,15.421564,319.923125054
420,20.7451838188,15.421051,319.912537674
430,20.7451877023,15.420562,319.902453164
440,20.7451941748,15.420094,319.892844223
450,20.7451961165,15.419647,319.883601062
460,20.7451951456,15.41922,319.874727893
470,20.745194822,15.418811,319.866238119
480,20.7451967638,15.41842,319.858156686
490,20.7451954693,15.418044,319.850336534
500,20.7451961165,15.417683,319.842857497
