Bandwidth,AveragePowerNs3,TotalTimeTakenNs3,TotalEnergyNs3
10,20.7127692998,83.502323,1729.5643523
20,20.7091489845,41.828208,866.226591225
30,20.705724508,27.94131,578.545067254
40,20.7022384798,21.001033,434.768393488
50,20.698741543,16.836826,348.501109779
60,20.6973028939,15.52914,321.411314262
70,20.6973038585,15.510692,321.02950538
80,20.6971454839,15.496854,320.74064178
90,20.697196129,15.486094,320.518724791
100,20.6972219355,15.477483,320.340900654
110,20.6972467742,15.47044,320.195514385
120,20.697263871,15.46457,320.074285941
130,20.6972832258,15.459604,319.971802547
140,20.6972867742,15.455346,319.883728356
150,20.6972893548,15.451656,319.807395243
160,20.6971035599,15.448428,319.737714153
170,20.6971084142,15.445579,319.678823084
180,20.6971203883,15.443047,319.626602922
190,20.697136246,15.440781,319.579948101
200,20.6971414239,15.438741,319.537805885
210,20.6971394822,15.436897,319.499610381
220,20.6971398058,15.43522,319.464906274
230,20.6971485437,15.433689,319.43335381
240,20.6971598706,15.432285,319.404469813
250,20.6971699029,15.430994,319.377904589
260,20.6971779935,15.429802,319.353358399
270,20.6971796117,15.428698,319.33053368
280,20.6971773463,15.427673,319.309284121
290,20.6971789644,15.426718,319.289543279
300,20.6971786408,15.425828,319.271117798
310,20.6971776699,15.424995,319.253862072
320,20.6971789644,15.424214,319.237717543
330,20.6971789644,15.42348,319.222525814
340,20.6971825243,15.42279,319.208299664
350,20.6971883495,15.422138,319.194894938
360,20.6971964401,15.421523,319.182290937
370,20.6972035599,15.420942,319.170375659
380,20.6972100324,15.42039,319.159050611
390,20.6972158576,15.419868,319.148336492
400,20.6972161812,15.41937,319.138034268
410,20.697215534,15.418898,319.128255202
420,20.6972161812,15.418449,319.118972132
430,20.6972158576,15.41802,319.110088037
440,20.6972152104,15.41761,319.101592199
450,20.6972161812,15.417219,319.093514556
460,20.6972158576,15.416844,319.085748111
470,20.6972152104,15.416486,319.078328529
480,20.6972148867,15.416143,319.071224396
490,20.697215534,15.415813,319.064404293
500,20.6972158576,15.415498,319.057889658
