Bandwidth, SgAveragePower, SgTransferTime, SgTotalEnergy
10,20.911100,84.010000,1740.367962
20,20.911100,42.010000,870.287562
30,20.911100,28.010000,580.260762
40,20.911100,21.010000,435.247362
50,20.911100,16.810000,348.239322
60,20.911100,14.010000,290.233962
70,20.911100,12.010000,248.801562
80,20.911100,10.510000,217.727262
90,20.911100,9.343333,193.558362
100,20.911100,8.410000,174.223242
110,20.911100,7.646364,158.403598
120,20.911100,7.010000,145.220562
130,20.911100,6.471538,134.065685
140,20.911100,6.010000,124.504362
150,20.911100,5.610000,116.217882
160,20.911100,5.260000,108.967212
170,20.911100,4.951176,102.569562
180,20.911100,4.676667,96.882762
190,20.911100,4.431053,91.794573
200,20.911100,4.210000,87.215202
210,20.911100,4.010000,83.071962
220,20.911100,3.828182,79.305380
230,20.911100,3.662174,75.866327
240,20.911100,3.510000,72.713862
250,20.911100,3.370000,69.813594
260,20.911100,3.240769,67.136424
270,20.911100,3.121111,64.657562
280,20.911100,3.010000,62.355762
290,20.911100,2.906552,60.212707
300,20.911100,2.810000,58.212522
310,20.911100,2.719677,56.341381
320,20.911100,2.635000,54.587187
330,20.911100,2.555455,52.939307
340,20.911100,2.480588,51.388362
350,20.911100,2.410000,49.926042
360,20.911100,2.343333,48.544962
370,20.911100,2.280270,47.238535
380,20.911100,2.220526,46.000867
390,20.911100,2.163846,44.826670
400,20.911100,2.110000,43.711182
410,20.911100,2.058780,42.650108
420,20.911100,2.010000,41.639562
430,20.911100,1.963488,40.676018
440,20.911100,1.919091,39.756271
450,20.911100,1.876667,38.877402
460,20.911100,1.836087,38.036745
470,20.911100,1.797234,37.231860
480,20.911100,1.760000,36.460512
490,20.911100,1.724286,35.720648
500,20.911100,1.690000,35.010378
