BytesSend,AveragePower,TotalTimeTaken,TotalEnergy
10.0,20.6024609467,8.436977,173.822489151
30.0,20.6839500994,25.113661,519.449710937
50.0,20.700375,41.790412,865.077199805
70.0,20.7074571795,58.467163,1210.70627423
90.0,20.7113847638,75.143914,1556.33451551
110.0,20.7138938487,91.820598,1901.96212009
130.0,20.7156263134,108.497349,2247.59053787
150.0,20.716901278,125.1741,2593.21947226
170.0,20.7178751586,141.850851,2938.84822215
190.0,20.7186435509,158.527535,3284.47549067
210.0,20.7192663623,175.204353,3630.10565765
230.0,20.7197803283,191.881037,3975.73293581
250.0,20.7202126798,208.557788,4321.36172338
270.0,20.7205805105,225.234472,4666.98901083
290.0,20.7208981401,241.91129,5012.61919903
310.0,20.7211742459,258.587974,5358.24646716
330.0,20.7214174718,275.264725,5703.875282
350.0,20.7216323857,291.941476,6049.5039438
370.0,20.7218245748,308.618227,6395.13276047
390.0,20.7219965724,325.294978,6740.76141913
