BytesSend, SgAveragePower, SgTransferTime, SgTotalEnergy
10.0,21.447075,8.410000,180.369901
30.0,21.447075,25.210000,540.680761
50.0,21.447075,42.010000,900.991621
70.0,21.447075,58.810000,1261.302481
90.0,21.447075,75.610000,1621.613341
110.0,21.447075,92.410000,1981.924201
130.0,21.447075,109.210000,2342.235061
150.0,21.447075,126.010000,2702.545921
170.0,21.447075,142.810000,3062.856781
190.0,21.447075,159.610000,3423.167641
210.0,21.447075,176.410000,3783.478501
230.0,21.447075,193.210000,4143.789361
250.0,21.447075,210.010000,4504.100221
270.0,21.447075,226.810000,4864.411081
290.0,21.447075,243.610000,5224.721941
310.0,21.447075,260.410000,5585.032801
330.0,21.447075,277.210000,5945.343661
350.0,21.447075,294.010000,6305.654521
370.0,21.447075,310.810000,6665.965381
390.0,21.447075,327.610000,7026.276241
