BytesSend,AveragePower,TotalTimeTaken,TotalEnergy
10.0,20.1964405405,1.807739,36.5098932263
30.0,20.558084466,5.14308,105.731873055
50.0,20.6379511765,8.478434,174.977506945
70.0,20.672649789,11.813788,244.222302006
90.0,20.6918445545,15.149142,313.463691397
110.0,20.7043186486,18.484483,382.708626088
130.0,20.7129672769,21.819837,451.953569768
150.0,20.7193001984,25.155191,521.197953877
170.0,20.7241121053,28.490545,590.44124852
190.0,20.7279637363,31.825886,659.685810882
210.0,20.7310769886,35.161253,728.93064296
230.0,20.7336235065,38.496594,798.173886278
250.0,20.7357934289,41.831948,867.418632457
270.0,20.7376403761,45.167288,936.662975308
290.0,20.7392238929,48.502656,1005.90744218
310.0,20.7406029894,51.837997,1075.15131554
330.0,20.7418245471,55.173351,1144.39596612
350.0,20.7429016225,58.508705,1213.64031188
370.0,20.7438572352,61.844059,1282.88433074
390.0,20.7447241564,65.179413,1352.12894336
