BytesSend, SgAveragePower, SgTransferTime, SgTotalEnergy
10.0,21.447075,1.690000,36.245557
30.0,21.447075,5.050000,108.307729
50.0,21.447075,8.410000,180.369901
70.0,21.447075,11.770000,252.432073
90.0,21.447075,15.130000,324.494245
110.0,21.447075,18.490000,396.556417
130.0,21.447075,21.850000,468.618589
150.0,21.447075,25.210000,540.680761
170.0,21.447075,28.570000,612.742933
190.0,21.447075,31.930000,684.805105
210.0,21.447075,35.290000,756.867277
230.0,21.447075,38.650000,828.929449
250.0,21.447075,42.010000,900.991621
270.0,21.447075,45.370000,973.053793
290.0,21.447075,48.730000,1045.115965
310.0,21.447075,52.090000,1117.178137
330.0,21.447075,55.450000,1189.240309
350.0,21.447075,58.810000,1261.302481
370.0,21.447075,62.170000,1333.364653
390.0,21.447075,65.530000,1405.426825
