Traffic,Average_Power,Transfer_Time,Total_Energy
35.0,9.57986153846,5.500314,52.6922465381
316.0,10.3365268293,48.362859,499.903989594
704.0,10.3455311721,107.586101,1113.03536158
241.0,10.2974503546,36.922183,380.204346426
74.0,10.316151073,11.440726,118.0242578
562.0,10.3438825986,85.90496,888.590820878
59.0,10.2827236641,9.160536,94.1952603032
762.0,10.3488356137,116.426671,1204.88047923
551.0,10.3298885845,84.224876,870.033585121
706.0,10.3427592705,107.886154,1115.84051944
167.0,10.2817798319,25.641465,263.639897698
397.0,10.3372552408,60.723556,627.714897501
623.0,10.3421864023,95.225404,984.838878399
861.0,10.3472338028,131.527569,1360.94650796
259.0,10.2732020202,39.682247,407.663740047
741.0,10.3471313225,113.22646,1171.5690508
112.0,10.253578022,17.241043,176.782379581
86.0,10.3227949091,13.280768,137.094644299
569.0,10.3439123543,86.98494,899.764595505
543.0,10.3357148014,83.004802,857.913960622
619.0,10.339402623,94.605436,978.163693124
854.0,10.3471487324,130.467453,1349.96614093
28.0,10.0308645161,4.420335,44.3397815009
835.0,10.350452741,127.567294,1320.37924785
636.0,10.3333174888,97.205541,1004.45571682
182.0,10.2950461538,27.921655,287.454726917
603.0,10.3441612591,92.165288,953.372601562
338.0,10.3191547264,51.723028,533.737928848
694.0,10.3451941476,106.046111,1097.06760689
636.0,10.3371486792,97.205541,1004.82812976
5.0,10.2418202247,0.920071,9.42320177598
44.0,10.3241010169,6.860483,70.8283195171
671.0,10.3470189474,102.545848,1061.04383223
263.0,10.3055534591,40.282352,415.131931995
3.0,10.3071408867,0.600156,6.185892446
961.0,10.3520639432,146.788424,1519.56315136
324.0,10.2795386139,49.582933,509.689674362
461.0,10.3369790769,70.50401,728.798476209
293.0,10.3227809524,44.862595,463.10674114
424.0,10.3359681115,64.843788,670.223324994
