Transfer_Time,Latency
5.880135,35
2.688135,16
0.672135,4
6.888135,41
12.432135,74
10.416135,62
9.912135,59
10.416135,62
8.568135,51
1.008135,6
11.256135,67
16.296135,97
3.864135,23
10.248135,61
9.912135,59
6.888135,41
2.016135,12
14.448135,86
11.592135,69
7.224135,43
3.192135,19
9.072135,54
4.704135,28
5.880135,35
6.048135,36
13.776135,82
0.504135,3
6.384135,38
15.792135,94
6.048135,36
0.840135,5
7.392135,44
11.928135,71
10.584135,63
0.504135,3
10.248135,61
4.032135,24
10.248135,61
15.624135,93
4.032135,24
