Traffic, SG_AVG_PWR, SG_TR_TIME, SG_TOTAL_ENERGY
35.0,20.885689,14.653783,151.445510
316.0,20.885689,59.676525,621.611007
704.0,20.885689,121.843158,1270.807493
241.0,20.885689,47.659779,496.121995
74.0,20.885689,20.902491,216.699796
562.0,20.885689,99.091452,1033.214965
59.0,20.885689,18.499142,191.601994
762.0,20.885689,131.136108,1367.852329
551.0,20.885689,97.328996,1014.809910
706.0,20.885689,122.163604,1274.153867
167.0,20.885689,35.803256,372.306171
397.0,20.885689,72.654611,757.139139
623.0,20.885689,108.865072,1135.279361
861.0,20.885689,146.998212,1533.497824
259.0,20.885689,50.543798,526.239358
741.0,20.885689,127.771419,1332.715406
112.0,20.885689,26.990976,280.280895
86.0,20.885689,22.825170,236.778038
569.0,20.885689,100.213015,1044.927273
543.0,20.885689,96.047209,1001.424415
619.0,20.885689,108.224179,1128.586614
854.0,20.885689,145.876650,1521.785517
28.0,20.885689,13.532220,139.733203
835.0,20.885689,142.832407,1489.994967
636.0,20.885689,110.947974,1157.030790
182.0,20.885689,38.206605,397.403973
603.0,20.885689,105.660606,1101.815624
338.0,20.885689,63.201437,658.421117
694.0,20.885689,120.240925,1254.075625
636.0,20.885689,110.947974,1157.030790
5.0,20.885689,9.847085,101.249906
44.0,20.885689,16.095793,166.504192
671.0,20.885689,116.555789,1215.592328
263.0,20.885689,51.184691,532.932105
3.0,20.885689,9.526638,97.903532
961.0,20.885689,163.020540,1700.816506
324.0,20.885689,60.958311,634.996501
461.0,20.885689,82.908900,864.223096
293.0,20.885689,55.991389,583.127710
424.0,20.885689,76.980639,802.315184
