TrafficSend, SgAveragePower, SgTransferTime, SgTotalEnergy
35.0,21.462812,3.291128,70.636857
116.0,21.462812,10.305561,221.186311
104.0,21.462812,9.266386,198.882688
41.0,21.462812,3.810715,81.788668
74.0,21.462812,6.668447,143.123631
162.0,21.462812,14.289066,306.683532
59.0,21.462812,5.369478,115.244103
162.0,21.462812,14.289066,306.683532
151.0,21.462812,13.336489,286.238544
106.0,21.462812,9.439581,202.599959
167.0,21.462812,14.722056,315.976708
197.0,21.462812,17.319994,371.735765
23.0,21.462812,2.251953,48.333234
61.0,21.462812,5.542674,118.961373
59.0,21.462812,5.369478,115.244103
141.0,21.462812,12.470509,267.652192
112.0,21.462812,9.959169,213.751770
86.0,21.462812,7.707623,165.427254
169.0,21.462812,14.895252,319.693978
143.0,21.462812,12.643705,271.369462
19.0,21.462812,1.905561,40.898693
54.0,21.462812,4.936489,105.950926
28.0,21.462812,2.684942,57.626410
35.0,21.462812,3.291128,70.636857
36.0,21.462812,3.377726,72.495492
182.0,21.462812,16.021025,343.856237
3.0,21.462812,0.519994,11.160529
138.0,21.462812,12.210715,262.076286
94.0,21.462812,8.400406,180.296336
36.0,21.462812,3.377726,72.495492
5.0,21.462812,0.693190,14.877800
44.0,21.462812,4.070509,87.364574
71.0,21.462812,6.408654,137.547725
63.0,21.462812,5.715870,122.678643
3.0,21.462812,0.519994,11.160529
161.0,21.462812,14.202468,304.824897
124.0,21.462812,10.998344,236.055393
61.0,21.462812,5.542674,118.961373
93.0,21.462812,8.313808,178.437701
24.0,21.462812,2.338551,50.191869
