TrafficSend, SgAveragePower, SgTransferTime, SgTotalEnergy
79.0,21.462812,7.101437,152.416807
81.0,21.462812,7.274633,156.134078
123.0,21.462812,10.911746,234.196758
88.0,21.462812,7.880819,169.144524
97.0,21.462812,8.660200,185.872241
92.0,21.462812,8.227210,176.579065
76.0,21.462812,6.841643,146.840902
107.0,21.462812,9.526179,204.458594
77.0,21.462812,6.928241,148.699537
77.0,21.462812,6.928241,148.699537
162.0,21.462812,14.289066,306.683532
172.0,21.462812,15.155045,325.269884
83.0,21.462812,7.447829,159.851348
101.0,21.462812,9.006592,193.306782
163.0,21.462812,14.375664,308.542167
90.0,21.462812,8.054014,172.861795
196.0,21.462812,17.233396,369.877130
116.0,21.462812,10.305561,221.186311
162.0,21.462812,14.289066,306.683532
152.0,21.462812,13.423087,288.097179
168.0,21.462812,14.808654,317.835343
107.0,21.462812,9.526179,204.458594
36.0,21.462812,3.377726,72.495492
172.0,21.462812,15.155045,325.269884
135.0,21.462812,11.950922,256.500380
78.0,21.462812,7.014839,150.558172
28.0,21.462812,2.684942,57.626410
174.0,21.462812,15.328241,328.987155
74.0,21.462812,6.668447,143.123631
115.0,21.462812,10.218963,219.327676
72.0,21.462812,6.495252,139.406361
23.0,21.462812,2.251953,48.333234
134.0,21.462812,11.864324,254.641745
106.0,21.462812,9.439581,202.599959
177.0,21.462812,15.588035,334.563060
151.0,21.462812,13.336489,286.238544
195.0,21.462812,17.146798,368.018495
44.0,21.462812,4.070509,87.364574
14.0,21.462812,1.472571,31.605517
136.0,21.462812,12.037520,258.359016
