TrafficSend, SgAveragePower, SgTransferTime, SgTotalEnergy
79.0,64.388435,7.621837,490.758163
81.0,64.388435,7.795033,501.909975
123.0,64.388435,11.432146,736.098014
88.0,64.388435,8.401219,540.941315
97.0,64.388435,9.180600,591.124466
92.0,64.388435,8.747610,563.244937
76.0,64.388435,7.362043,474.030446
107.0,64.388435,10.046579,646.883523
77.0,64.388435,7.448641,479.606352
77.0,64.388435,7.448641,479.606352
162.0,64.388435,14.809466,953.558337
172.0,64.388435,15.675445,1009.317394
83.0,64.388435,7.968229,513.061786
101.0,64.388435,9.526992,613.428089
163.0,64.388435,14.896064,959.134243
90.0,64.388435,8.574414,552.093126
196.0,64.388435,17.753796,1143.139131
116.0,64.388435,10.825961,697.066674
162.0,64.388435,14.809466,953.558337
152.0,64.388435,13.943487,897.799280
168.0,64.388435,15.329054,987.013771
107.0,64.388435,10.046579,646.883523
36.0,64.388435,3.898126,250.994218
172.0,64.388435,15.675445,1009.317394
135.0,64.388435,12.471322,803.008883
78.0,64.388435,7.535239,485.182258
28.0,64.388435,3.205342,206.386972
174.0,64.388435,15.848641,1020.469205
74.0,64.388435,7.188847,462.878635
115.0,64.388435,10.739363,691.490769
72.0,64.388435,7.015652,451.726823
23.0,64.388435,2.772353,178.507444
134.0,64.388435,12.384724,797.432977
106.0,64.388435,9.959981,641.307617
177.0,64.388435,16.108435,1037.196923
151.0,64.388435,13.856889,892.223374
195.0,64.388435,17.667198,1137.563225
44.0,64.388435,4.590909,295.601463
14.0,64.388435,1.992971,128.324292
136.0,64.388435,12.557920,808.584789
