BytesSend, SgAveragePower, SgTransferTime, SgTotalEnergy
158.0,21.447075,132.730000,2846.670265
162.0,21.447075,136.090000,2918.732437
46.0,21.447075,38.650000,828.929449
176.0,21.447075,147.850000,3170.950039
194.0,21.447075,162.970000,3495.229813
184.0,21.447075,154.570000,3315.074383
152.0,21.447075,127.690000,2738.577007
14.0,21.447075,11.770000,252.432073
154.0,21.447075,129.370000,2774.608093
154.0,21.447075,129.370000,2774.608093
124.0,21.447075,104.170000,2234.141803
144.0,21.447075,120.970000,2594.452663
166.0,21.447075,139.450000,2990.794609
2.0,21.447075,1.690000,36.245557
126.0,21.447075,105.850000,2270.172889
180.0,21.447075,151.210000,3243.012211
192.0,21.447075,161.290000,3459.198727
32.0,21.447075,26.890000,576.711847
124.0,21.447075,104.170000,2234.141803
104.0,21.447075,87.370000,1873.830943
136.0,21.447075,114.250000,2450.328319
14.0,21.447075,11.770000,252.432073
72.0,21.447075,60.490000,1297.333567
144.0,21.447075,120.970000,2594.452663
70.0,21.447075,58.810000,1261.302481
156.0,21.447075,131.050000,2810.639179
56.0,21.447075,47.050000,1009.084879
148.0,21.447075,124.330000,2666.514835
148.0,21.447075,124.330000,2666.514835
30.0,21.447075,25.210000,540.680761
144.0,21.447075,120.970000,2594.452663
46.0,21.447075,38.650000,828.929449
68.0,21.447075,57.130000,1225.271395
12.0,21.447075,10.090000,216.400987
154.0,21.447075,129.370000,2774.608093
102.0,21.447075,85.690000,1837.799857
190.0,21.447075,159.610000,3423.167641
88.0,21.447075,73.930000,1585.582255
28.0,21.447075,23.530000,504.649675
72.0,21.447075,60.490000,1297.333567
