Throughput,Cons_Node0,Cons_Node1,Cons_Node2,Cons_Total
0.0,8.038,9.14,8.038,25.216
1.03115,8.03841,9.14082,8.03841,50.43364
3.0691,8.03964,9.14328,8.03964,75.6562
5.10713,8.04169,9.14738,8.04169,100.88696
7.14516,8.04456,9.15312,8.04456,126.1292
9.1832,8.04825,9.1605,8.04825,151.3862
11.2212,8.05276,9.16953,8.05276,176.66125
13.2593,8.05809,9.18018,8.05809,201.95761
15.2973,8.06424,9.19247,8.06424,227.27856
17.3354,8.0712,9.2064,8.0712,252.62736
19.3734,8.07899,9.22198,8.07899,278.00732
21.4115,8.0876,9.23919,8.0876,303.42171
23.4495,8.09702,9.25804,8.09702,328.87379
25.4876,8.10726,9.27853,8.10726,354.36684
27.5256,8.11833,9.30065,8.11833,379.90415
29.5637,8.13021,9.32442,8.13021,405.48899
31.6018,8.14291,9.34982,8.14291,431.12463
33.6398,8.15643,9.37687,8.15643,456.81436
35.6778,8.17078,9.40556,8.17078,482.56148
37.7158,8.18594,9.43587,8.18594,508.36923
39.7539,8.20191,9.46783,8.20191,534.24088
41.792,8.21871,9.50143,8.21871,560.17973
43.83,8.23633,9.53666,8.23633,586.18905
45.8681,8.25477,9.57354,8.25477,612.27213
47.9061,8.27403,9.61206,8.27403,638.43225
49.9442,8.2941,9.65221,8.2941,664.67266
51.9823,8.315,9.69401,8.315,690.99667
54.0203,8.33672,9.73744,8.33672,717.40755
56.0582,8.35925,9.78251,8.35925,743.90856
58.0964,8.38261,9.82922,8.38261,770.503
60.1343,8.40678,9.87757,8.40678,797.19413
62.1724,8.43177,9.92755,8.43177,823.98522
64.2106,8.45759,9.97918,8.45759,850.87958
66.2485,8.48422,10.0324,8.48422,877.88042
68.2865,8.51167,10.0873,8.51167,904.99106
70.3248,8.53994,10.1439,8.53994,932.21484
72.3626,8.56903,10.2021,8.56903,959.555
74.4006,8.59894,10.2619,8.59894,987.01478
76.4388,8.62967,10.3233,8.62967,1014.59742
78.4767,8.66122,10.3864,8.66122,1042.30626
80.5149,8.69359,10.4512,8.69359,1070.14464
82.5532,8.72677,10.5175,8.72677,1098.11568
84.5911,8.76078,10.5856,8.76078,1126.22284
86.629,8.7956,10.6552,8.7956,1154.46924
88.6671,8.83125,10.7265,8.83125,1182.85824
90.7054,8.86771,10.7994,8.86771,1211.39306
92.7434,8.905,10.874,8.905,1240.07706
94.7815,8.9431,10.9502,8.9431,1268.91346
96.8198,8.98202,11.028,8.98202,1297.9055
98.8572,9.02176,11.1075,9.02176,1327.05652
100.896,9.06233,11.1887,9.06233,1356.36988
102.933,9.10371,11.2714,9.10371,1385.8487
104.971,9.14591,11.3558,9.14591,1415.49632
107.01,9.18893,11.4419,9.18893,1445.31608
109.047,9.23276,11.5295,9.23276,1475.3111
111.086,9.27742,11.6188,9.27742,1505.48474
113.124,9.3229,11.7098,9.3229,1535.84034
115.162,9.36919,11.8024,9.36919,1566.38112
117.201,9.41631,11.8966,9.41631,1597.11034
119.238,9.46425,11.9925,9.46425,1628.03134
121.277,9.513,12.09,9.513,1659.14734
123.314,9.56258,12.1891,9.56257,1690.46159
125.353,9.61297,12.2899,9.61297,1721.97743
127.39,9.66418,12.3924,9.66418,1753.69819
129.428,9.71622,12.4964,9.71622,1785.62703
131.467,9.76907,12.6021,9.76907,1817.76727
133.504,9.82274,12.7095,9.82274,1850.12225
135.542,9.87723,12.8185,9.87723,1882.69521
137.581,9.93254,12.9291,9.93254,1915.48939
139.618,9.98867,13.0413,9.98867,1948.50803
141.657,10.0456,13.1552,10.0456,1981.75443
143.695,10.1034,13.2708,10.1034,2015.23203
145.733,10.162,13.3879,10.162,2048.94393
147.772,10.2214,13.5068,10.2214,2082.89353
149.81,10.2816,13.6272,10.2816,2117.08393
151.847,10.3427,13.7493,10.3427,2151.51863
153.886,10.4045,13.873,10.4045,2186.20063
155.923,10.4672,13.9984,10.4672,2221.13343
157.961,10.5307,14.1254,10.5307,2256.32023
