Throughput,Power_Node0,Power_Node1,Power_Node2,Total_Power,TimeLastRxPacket,TimeFirstRxPacket,Total_Energy,Expected
0.0,10.3581,10.3581,10.3581,31.0743,0.0,0.0,0.0,10.35805453
104.328,10.7156,11.0661,10.7085,63.5645,1.01999,0.020003,63.5636736615,10.6968
81.144,10.6362,10.9087,10.6306,32.1755,1.01998,0.020003,32.1747599635,10.6215
57.9591,10.5567,10.7514,10.5527,31.8608,1.01999,0.020003,31.8603858096,10.5462
34.776,10.4772,10.5941,10.4749,31.5462,1.02,0.020003,31.5461053614,10.471
11.5929,10.3978,10.4367,10.397,31.2315,1.01992,0.020003,31.2289077855,10.3957
114.777,10.7515,11.137,10.7436,32.6321,1.01999,0.020003,32.6316757827,10.7307
91.5878,10.672,10.9796,10.6657,32.3173,1.01999,0.020003,32.3168798751,10.6554
68.4041,10.5925,10.8223,10.5878,32.0026,1.01999,0.020003,32.0021839662,10.5802
45.2217,10.5131,10.665,10.51,31.6881,1.01998,0.020003,31.6873711737,10.5049
22.038,10.4336,10.5076,10.4321,31.3733,1.01994,0.020003,31.3713234821,10.4296
125.221,10.7873,11.2079,10.7787,32.7739,1.02,0.020003,32.7738016783,10.7646
102.035,10.7078,11.0505,10.7008,32.4591,1.01999,0.020003,32.4586780317,10.6894
78.8493,10.6283,10.8932,10.6229,32.1444,1.02,0.020003,32.1443035668,10.6141
55.6663,10.5488,10.7358,10.545,31.8296,1.01998,0.020003,31.8288679192,10.5388
32.4831,10.4694,10.5785,10.4672,31.5151,1.01998,0.020003,31.5143751527,10.4635
9.30008,10.3899,10.4212,10.3893,31.2004,1.01999,0.020003,31.1999943948,10.3883
112.479,10.7436,11.1214,10.7359,32.6009,1.02,0.020003,32.6008021973,10.7233
89.2978,10.6641,10.9641,10.658,32.2862,1.01999,0.020003,32.2857802794,10.648
66.1128,10.5847,10.8067,10.5801,31.9715,1.02,0.020003,31.9714040855,10.5727
42.9286,10.5052,10.6494,10.5022,31.6568,1.02,0.020003,31.6567050296,10.4974
19.7451,10.4257,10.492,10.4244,31.3421,1.01997,0.020003,31.3410657107,10.4222
122.922,10.7794,11.1923,10.7709,32.7426,1.02,0.020003,32.7425017722,10.7572
99.7422,10.6999,11.035,10.6931,32.428,1.01999,0.020003,32.427578436,10.6819
76.5555,10.6204,10.8776,10.6152,32.1132,1.02,0.020003,32.1131036604,10.6066
53.3728,10.541,10.7203,10.5373,31.7986,1.01998,0.020003,31.7978686322,10.5313
30.1905,10.4615,10.5629,10.4595,31.4839,1.01995,0.020003,31.4822313533,10.4561
7.00728,10.3821,10.4056,10.3816,31.1693,1.01989,0.020003,31.1657778691,10.3808
110.19,10.7357,11.1059,10.7282,32.5698,1.02,0.020003,32.5697022906,10.7158
87.0034,10.6563,10.9485,10.6503,32.2551,1.02,0.020003,32.2550032347,10.6405
63.8204,10.5768,10.7912,10.5724,31.9404,1.01998,0.020003,31.9396653708,10.5653
40.6354,10.4973,10.6338,10.4945,31.6256,1.01999,0.020003,31.6251888672,10.49
17.4523,10.4179,10.4765,10.4167,31.3111,1.01993,0.020003,31.3088142897,10.4147
120.629,10.7715,11.1767,10.7632,32.7114,1.02,0.020003,32.7113018658,10.7497
97.4484,10.6921,11.0194,10.6854,32.3969,1.01999,0.020003,32.3964788403,10.6745
74.2663,10.6126,10.8621,10.6075,32.0822,1.01999,0.020003,32.0817829314,10.5992
51.081,10.5331,10.7047,10.5296,31.7674,1.01997,0.020003,31.7663516758,10.5239
27.8976,10.4537,10.5474,10.4518,31.4529,1.01998,0.020003,31.4521765833,10.4486
4.71448,10.3742,10.39,10.3739,31.1381,1.01969,0.020003,31.1283537747,10.3734
107.892,10.7279,11.0903,10.7205,32.5387,1.01999,0.020003,32.5382769969,10.7084
84.709,10.6484,10.9329,10.6426,32.2239,1.01999,0.020003,32.2234810893,10.6331
