Bytes,EnergyConsumed
0,11
512,11.032
1512,11.0921
2512,11.1509
3512,11.211
4512,11.2711
5512,11.3299
6512,11.39
7512,11.4501
8512,11.5089
9512,11.569
10512,11.6291
11512,11.6879
12512,11.748
13512,11.8081
14512,11.8669
15512,11.9269
16512,11.987
17512,12.0458
18512,12.1059
19512,12.166
20512,12.2248
21512,12.2849
22512,12.345
23512,12.4038
24512,12.4639
25512,12.524
26512,12.5828
27512,12.6429
28512,12.703
29512,12.7618
30512,12.8219
31512,12.882
32512,12.9408
33512,13.0009
34512,13.061
35512,13.1198
36512,13.1799
37512,13.24
38512,13.3001
39512,13.3589
40512,13.419
41512,13.479
42512,13.5378
43512,13.5979
44512,13.658
45512,13.7168
46512,13.7769
47512,13.837
48512,13.8958
49512,13.9559
50512,14.016
51512,14.0748
52512,14.1349
53512,14.195
54512,14.2538
55512,14.3139
56512,14.374
57512,14.4328
58512,14.4929
59512,14.553
60512,14.5934
61512,14.6531
62512,14.6939
63512,14.7328
64512,14.7527



