DataSize, ElaspedTimens3, ElapsedSecns3, PeakMemns3
20,0:16.85,16.85,44236
20,0:16.77,16.77,44436
20,0:16.74,16.74,44408
20,0:16.83,16.83,44268
20,0:16.75,16.75,44432
20,0:16.75,16.75,44252
20,0:16.76,16.76,44236
20,0:16.78,16.78,44184
20,0:16.74,16.74,44184
20,0:16.77,16.77,44052
22,0:18.39,18.39,44592
22,0:18.34,18.34,44596
22,0:18.35,18.35,44496
22,0:18.35,18.35,44596
22,0:18.35,18.35,44684
22,0:18.34,18.34,44312
22,0:18.35,18.35,44496
22,0:18.34,18.34,44388
22,0:18.36,18.36,44368
22,0:18.35,18.35,44392
32,0:26.52,26.52,45676
32,0:26.32,26.32,45840
32,0:26.33,26.33,45940
32,0:26.32,26.32,45708
32,0:26.31,26.31,45708
32,0:26.30,26.30,45756
32,0:26.32,26.32,45772
32,0:26.35,26.35,45684
32,0:26.32,26.32,45644
32,0:26.29,26.29,45700
32,0:26.34,26.34,45712
32,0:26.32,26.32,45736
32,0:26.31,26.31,45740
32,0:26.30,26.30,45724
32,0:26.31,26.31,45852
32,0:26.32,26.32,45840
32,0:26.33,26.33,45744
32,0:26.35,26.35,45564
32,0:26.35,26.35,45800
32,0:26.44,26.44,45720
42,0:34.32,34.32,47056
42,0:34.34,34.34,47196
42,0:34.36,34.36,47296
42,0:34.30,34.30,47060
42,0:34.35,34.35,47288
42,0:34.34,34.34,47200
42,0:34.33,34.33,47292
42,0:34.35,34.35,47128
42,0:34.34,34.34,46908
42,0:34.33,34.33,47108
42,0:34.38,34.38,47148
42,0:34.37,34.37,46920
42,0:34.32,34.32,47088
42,0:34.36,34.36,46916
42,0:34.37,34.37,47192
42,0:34.34,34.34,47124
42,0:34.36,34.36,47204
42,0:34.35,34.35,46996
42,0:34.35,34.35,46908
42,0:34.30,34.30,47132
44,0:35.80,35.80,47500
44,0:35.93,35.93,47440
44,0:35.92,35.92,47676
44,0:35.96,35.96,47456
44,0:35.95,35.95,47292
44,0:35.94,35.94,47284
44,0:35.92,35.92,47524
44,0:36.01,36.01,47504
44,0:35.94,35.94,47516
44,0:35.94,35.94,47428
48,0:39.09,39.09,48164
48,0:39.11,39.11,48184
48,0:39.09,39.09,48080
48,0:39.14,39.14,48120
48,0:39.13,39.13,48420
48,0:39.16,39.16,48280
48,0:39.09,39.09,48040
48,0:39.32,39.32,48292
48,0:39.11,39.11,48196
48,0:39.15,39.15,48048
50,0:40.77,40.77,48620
50,0:40.71,40.71,48572
50,0:40.72,40.72,48532
50,0:40.73,40.73,48604
50,0:40.67,40.67,48488
50,0:40.70,40.70,48568
50,0:40.72,40.72,48568
50,0:40.73,40.73,48644
50,0:40.67,40.67,48512
50,0:40.74,40.74,48504
54,0:43.87,43.87,49396
54,0:43.87,43.87,49312
54,0:43.90,43.90,49376
54,0:43.87,43.87,49240
54,0:43.91,43.91,49436
54,0:43.95,43.95,49388
54,0:43.95,43.95,49372
54,0:43.93,43.93,49244
54,0:43.95,43.95,49304
54,0:43.89,43.89,49432
62,0:50.34,50.34,51064
62,0:50.31,50.31,50676
62,0:50.30,50.30,50756
62,0:50.25,50.25,50920
62,0:50.30,50.30,50864
62,0:50.31,50.31,50948
62,0:50.32,50.32,50728
62,0:50.32,50.32,50892
62,0:50.33,50.33,50932
62,0:50.30,50.30,50804
62,0:50.34,50.34,50824
62,0:50.22,50.22,50740
62,0:50.24,50.24,50804
62,0:50.35,50.35,50976
62,0:50.23,50.23,50808
62,0:50.31,50.31,50884
62,0:50.34,50.34,50888
62,0:50.06,50.06,50828
62,0:50.27,50.27,50904
62,0:50.26,50.26,50888
64,0:52.01,52.01,51288
64,0:51.88,51.88,51072
64,0:51.95,51.95,51188
64,0:51.83,51.83,51252
64,0:51.86,51.86,51292
64,0:51.97,51.97,51244
64,0:51.97,51.97,51068
64,0:51.84,51.84,51112
64,0:51.93,51.93,51212
64,0:51.83,51.83,51108
66,0:53.67,53.67,53388
66,0:53.46,53.46,53332
66,0:53.46,53.46,53296
66,0:53.47,53.47,53416
66,0:53.47,53.47,53340
66,0:53.50,53.50,53132
66,0:53.44,53.44,53428
66,0:53.43,53.43,53316
66,0:53.57,53.57,53508
66,0:53.55,53.55,53312
66,0:53.45,53.45,53144
66,0:53.42,53.42,53280
66,0:53.46,53.46,53476
66,0:53.46,53.46,53148
66,0:53.45,53.45,53296
66,0:53.48,53.48,53148
66,0:53.47,53.47,53352
66,0:53.53,53.53,53248
66,0:53.55,53.55,53360
66,0:53.46,53.46,53356
70,0:56.74,56.74,53136
70,0:56.64,56.64,53312
70,0:56.69,56.69,53084
70,0:56.63,56.63,53316
70,0:56.75,56.75,53264
70,0:56.71,56.71,53272
70,0:56.67,56.67,53272
70,0:56.71,56.71,53348
70,0:56.63,56.63,53104
70,0:56.73,56.73,53296
72,0:58.24,58.24,53316
72,0:58.22,58.22,53324
72,0:58.29,58.29,53412
72,0:58.32,58.32,53176
72,1:00.13,60.13,53284
72,0:58.26,58.26,53144
72,0:58.25,58.25,53316
72,0:58.40,58.40,53376
72,0:58.18,58.18,53336
72,0:58.36,58.36,53136
72,0:58.33,58.33,53316
72,1:04.48,64.48,53256
72,0:58.24,58.24,53360
72,0:58.19,58.19,53348
72,0:58.36,58.36,53324
72,0:58.27,58.27,53132
72,0:58.26,58.26,53424
72,0:58.30,58.30,53416
72,0:58.28,58.28,53356
72,0:58.26,58.26,53320
74,0:59.95,59.95,53340
74,0:59.82,59.82,53128
74,0:59.96,59.96,53280
74,0:59.96,59.96,53312
74,0:59.87,59.87,53344
74,0:59.98,59.98,53316
74,1:00.05,60.05,53316
74,0:59.84,59.84,53296
74,0:59.87,59.87,53212
74,0:59.84,59.84,53320
74,0:59.74,59.74,53344
74,0:59.89,59.89,53336
74,0:59.78,59.78,53328
74,0:59.71,59.71,53284
74,0:59.90,59.90,53312
74,0:59.87,59.87,53316
74,0:59.87,59.87,53220
74,0:59.96,59.96,53144
74,0:59.97,59.97,53512
74,0:59.85,59.85,53460
76,1:01.27,61.27,53532
76,1:01.16,61.16,53500
76,1:01.47,61.47,53524
76,1:01.41,61.41,53464
76,1:01.51,61.51,53324
76,1:01.43,61.43,53504
76,1:01.63,61.63,53412
76,1:01.49,61.49,53324
76,1:01.46,61.46,53704
76,1:01.34,61.34,53588
80,1:04.49,64.49,54144
80,1:04.54,64.54,54296
80,1:04.54,64.54,54220
80,1:04.66,64.66,54092
80,1:04.64,64.64,54148
80,1:04.71,64.71,54092
80,1:04.56,64.56,54212
80,1:04.82,64.82,54380
80,1:04.15,64.15,54296
80,1:04.76,64.76,54044
84,1:07.81,67.81,55048
84,1:07.71,67.71,55116
84,1:08.00,68.00,55000
84,1:07.78,67.78,54908
84,1:07.81,67.81,55060
84,1:07.87,67.87,54872
84,1:07.74,67.74,54916
84,1:07.82,67.82,55128
84,1:07.78,67.78,55004
84,1:07.79,67.79,54920
88,1:10.95,70.95,55968
88,1:10.93,70.93,55784
88,1:10.87,70.87,55660
88,1:10.92,70.92,55804
88,1:11.04,71.04,55752
88,1:10.99,70.99,55748
88,1:11.06,71.06,55888
88,1:11.05,71.05,55760
88,1:10.88,70.88,55804
88,1:11.01,71.01,55836
90,1:12.56,72.56,56200
90,1:12.54,72.54,56232
90,1:12.63,72.63,56188
90,1:12.62,72.62,56112
90,1:12.70,72.70,56048
90,1:12.69,72.69,55980
90,1:12.62,72.62,56164
90,1:12.41,72.41,56164
90,1:12.63,72.63,56276
90,1:12.74,72.74,56272
94,1:15.95,75.95,57008
94,1:16.00,76.00,56912
94,1:15.84,75.84,56808
94,1:15.82,75.82,56852
94,1:15.82,75.82,56932
94,1:15.88,75.88,56876
94,1:15.81,75.81,56872
94,1:15.81,75.81,57004
94,1:15.80,75.80,57008
94,1:15.62,75.62,56920
98,1:18.87,78.87,57580
98,1:19.04,79.04,57692
98,1:19.00,79.00,57572
98,1:19.00,79.00,57716
98,1:18.92,78.92,57620
98,1:19.01,79.01,57720
98,1:19.04,79.04,57764
98,1:18.96,78.96,57620
98,1:18.93,78.93,57740
98,1:19.10,79.10,57776
102,1:22.21,82.21,58432
102,1:22.15,82.15,58532
102,1:22.30,82.30,58524
102,1:21.94,81.94,58456
102,1:22.29,82.29,58188
102,1:22.05,82.05,58244
102,1:21.98,81.98,58284
102,1:22.19,82.19,58476
102,1:22.11,82.11,58424
102,1:22.08,82.08,58460
110,1:28.45,88.45,59848
110,1:28.47,88.47,59956
110,1:28.57,88.57,59988
110,1:28.64,88.64,59832
110,1:28.46,88.46,59896
110,1:28.49,88.49,60092
110,1:28.58,88.58,59896
110,1:28.47,88.47,59932
110,1:28.60,88.60,59828
110,1:28.58,88.58,59792
112,1:30.03,90.03,60140
112,1:30.03,90.03,60432
112,1:30.04,90.04,60356
112,1:30.18,90.18,60308
112,1:30.21,90.21,60508
112,1:30.13,90.13,60304
112,1:30.25,90.25,60500
112,1:30.29,90.29,60344
112,1:30.25,90.25,60144
112,1:30.29,90.29,60348
