DataSize, ElaspedTimesg, ElapsedSecsg, PeakMemsg
20,0:00.03,0.03,28500
20,0:00.03,0.03,28292
20,0:00.03,0.03,28348
20,0:00.03,0.03,28188
20,0:00.03,0.03,28460
20,0:00.03,0.03,28228
20,0:00.03,0.03,28512
20,0:00.03,0.03,28192
20,0:00.03,0.03,28168
20,0:00.03,0.03,28556
22,0:00.03,0.03,28564
22,0:00.03,0.03,28424
22,0:00.03,0.03,28452
22,0:00.03,0.03,28460
22,0:00.03,0.03,28560
22,0:00.03,0.03,28476
22,0:00.03,0.03,28192
22,0:00.03,0.03,28308
22,0:00.03,0.03,28512
22,0:00.03,0.03,28580
32,0:00.03,0.03,28100
32,0:00.03,0.03,28460
32,0:00.03,0.03,28328
32,0:00.03,0.03,28180
32,0:00.03,0.03,28196
32,0:00.03,0.03,28176
32,0:00.03,0.03,28556
32,0:00.03,0.03,28328
32,0:00.03,0.03,28564
32,0:00.03,0.03,28392
32,0:00.03,0.03,28584
32,0:00.03,0.03,28136
32,0:00.03,0.03,28516
32,0:00.03,0.03,28332
32,0:00.03,0.03,28504
32,0:00.03,0.03,28308
32,0:00.03,0.03,28564
32,0:00.03,0.03,28504
32,0:00.03,0.03,28192
32,0:00.03,0.03,28472
42,0:00.03,0.03,28332
42,0:00.03,0.03,28516
42,0:00.03,0.03,28048
42,0:00.03,0.03,28460
42,0:00.03,0.03,28240
42,0:00.03,0.03,28512
42,0:00.03,0.03,28416
42,0:00.03,0.03,28112
42,0:00.03,0.03,28136
42,0:00.03,0.03,28600
42,0:00.03,0.03,28140
42,0:00.03,0.03,28188
42,0:00.03,0.03,28348
42,0:00.03,0.03,28520
42,0:00.03,0.03,28560
42,0:00.03,0.03,28436
42,0:00.03,0.03,28560
42,0:00.03,0.03,28188
42,0:00.03,0.03,28140
42,0:00.03,0.03,28332
44,0:00.03,0.03,28240
44,0:00.03,0.03,28456
44,0:00.03,0.03,28348
44,0:00.03,0.03,28392
44,0:00.03,0.03,28320
44,0:00.03,0.03,28132
44,0:00.03,0.03,28348
44,0:00.03,0.03,28548
44,0:00.03,0.03,28272
44,0:00.03,0.03,28508
48,0:00.03,0.03,28200
48,0:00.03,0.03,28284
48,0:00.03,0.03,28332
48,0:00.03,0.03,28288
48,0:00.03,0.03,28324
48,0:00.03,0.03,28332
48,0:00.03,0.03,28564
48,0:00.03,0.03,28392
48,0:00.03,0.03,28588
48,0:00.03,0.03,28140
50,0:00.03,0.03,28564
50,0:00.03,0.03,28288
50,0:00.03,0.03,28568
50,0:00.03,0.03,28580
50,0:00.03,0.03,28560
50,0:00.03,0.03,28500
50,0:00.03,0.03,28512
50,0:00.03,0.03,28476
50,0:00.03,0.03,28288
50,0:00.03,0.03,28464
54,0:00.03,0.03,28256
54,0:00.03,0.03,28564
54,0:00.03,0.03,28288
54,0:00.03,0.03,28180
54,0:00.03,0.03,28344
54,0:00.03,0.03,28280
54,0:00.03,0.03,28352
54,0:00.03,0.03,28444
54,0:00.03,0.03,28112
54,0:00.03,0.03,28272
62,0:00.03,0.03,28476
62,0:00.03,0.03,28352
62,0:00.03,0.03,28196
62,0:00.03,0.03,28572
62,0:00.03,0.03,28508
62,0:00.03,0.03,28120
62,0:00.03,0.03,28416
62,0:00.03,0.03,28088
62,0:00.03,0.03,28448
62,0:00.03,0.03,28280
62,0:00.03,0.03,28476
62,0:00.03,0.03,28240
62,0:00.03,0.03,28168
62,0:00.03,0.03,28552
62,0:00.03,0.03,28352
62,0:00.03,0.03,28176
62,0:00.03,0.03,28188
62,0:00.03,0.03,28352
62,0:00.03,0.03,28192
62,0:00.03,0.03,28464
64,0:00.03,0.03,28516
64,0:00.03,0.03,28272
64,0:00.03,0.03,28516
64,0:00.03,0.03,28332
64,0:00.03,0.03,28176
64,0:00.03,0.03,28196
64,0:00.03,0.03,28580
64,0:00.03,0.03,28516
64,0:00.03,0.03,28512
64,0:00.03,0.03,28516
66,0:00.03,0.03,28500
66,0:00.03,0.03,28592
66,0:00.03,0.03,28508
66,0:00.03,0.03,28244
66,0:00.03,0.03,28516
66,0:00.03,0.03,28308
66,0:00.03,0.03,28392
66,0:00.03,0.03,28348
66,0:00.03,0.03,28140
66,0:00.03,0.03,28272
66,0:00.03,0.03,28388
66,0:00.03,0.03,28272
66,0:00.03,0.03,28516
66,0:00.03,0.03,28516
66,0:00.03,0.03,28188
66,0:00.03,0.03,28324
66,0:00.03,0.03,28188
66,0:00.03,0.03,28104
66,0:00.03,0.03,28284
66,0:00.03,0.03,28268
70,0:00.03,0.03,28584
70,0:00.03,0.03,28096
70,0:00.03,0.03,28512
70,0:00.03,0.03,28348
70,0:00.03,0.03,28240
70,0:00.03,0.03,28328
70,0:00.03,0.03,28388
70,0:00.03,0.03,28100
70,0:00.03,0.03,28140
70,0:00.03,0.03,28200
72,0:00.03,0.03,28320
72,0:00.03,0.03,28516
72,0:00.03,0.03,28104
72,0:00.03,0.03,28324
72,0:00.03,0.03,28240
72,0:00.03,0.03,28352
72,0:00.03,0.03,28240
72,0:00.03,0.03,28196
72,0:00.03,0.03,28564
72,0:00.03,0.03,28288
72,0:00.03,0.03,28284
72,0:00.03,0.03,28268
72,0:00.03,0.03,28328
72,0:00.03,0.03,28096
72,0:00.03,0.03,28332
72,0:00.03,0.03,28392
72,0:00.03,0.03,28136
72,0:00.03,0.03,28284
72,0:00.03,0.03,28184
72,0:00.03,0.03,28332
74,0:00.03,0.03,28196
74,0:00.03,0.03,28136
74,0:00.03,0.03,28204
74,0:00.03,0.03,28512
74,0:00.03,0.03,28508
74,0:00.03,0.03,28464
74,0:00.03,0.03,28348
74,0:00.03,0.03,28084
74,0:00.03,0.03,28560
74,0:00.03,0.03,28476
74,0:00.03,0.03,28288
74,0:00.03,0.03,28572
74,0:00.03,0.03,28328
74,0:00.03,0.03,28332
74,0:00.03,0.03,28600
74,0:00.03,0.03,28448
74,0:00.03,0.03,28560
74,0:00.03,0.03,28352
74,0:00.03,0.03,28272
74,0:00.03,0.03,28516
76,0:00.15,0.15,28344
76,0:00.03,0.03,28208
76,0:00.03,0.03,28460
