DataSize, ElaspedTimens3, ElapsedSecns3, PeakMemns3
202,4:10.75,250.75,57308
202,7:46.84,466.84,81820
202,4:07.94,247.94,62156
202,6:18.45,378.45,71540
202,6:18.83,378.83,71268
202,6:12.10,372.10,71844
202,6:13.03,373.03,73448
202,6:17.96,377.96,78120
202,6:25.14,385.14,77048
202,6:24.39,384.39,74812
210,5:07.78,307.78,74048
210,4:28.75,268.75,73572
210,4:26.37,266.37,72848
210,4:31.74,271.74,73400
210,5:08.07,308.07,74976
210,6:09.76,369.76,72648
210,6:08.12,368.12,73028
210,6:07.47,367.47,68180
210,6:15.68,375.68,66836
210,5:18.74,318.74,71604
212,5:37.63,337.63,59728
212,8:30.19,510.19,77636
212,4:09.78,249.78,58212
212,9:32.16,572.16,77524
212,4:10.15,250.15,59084
212,8:39.50,519.50,82760
212,4:18.06,258.06,59008
212,8:14.75,494.75,81012
212,4:14.92,254.92,57916
212,8:21.43,501.43,82932
20,0:49.16,49.16,39900
20,0:45.42,45.42,39868
20,0:42.01,42.01,40016
20,0:41.53,41.53,39820
20,0:42.96,42.96,40120
20,0:42.41,42.41,39788
20,0:41.96,41.96,40028
20,0:41.01,41.01,40028
20,0:42.14,42.14,39788
20,0:42.39,42.39,40080
32,1:14.52,74.52,41472
32,1:16.25,76.25,41536
32,1:19.83,79.83,41404
32,1:15.81,75.81,41384
32,1:24.08,84.08,41408
32,1:18.29,78.29,41496
32,1:18.71,78.71,41456
32,0:44.46,44.46,40164
32,1:17.53,77.53,41380
32,1:26.71,86.71,41532
50,1:44.76,104.76,45184
50,1:40.23,100.23,45484
50,1:47.91,107.91,45272
50,1:48.39,108.39,45220
50,2:33.56,153.56,45468
50,1:55.25,115.25,45232
50,1:57.88,117.88,45320
50,1:56.60,116.60,45232
50,1:55.81,115.81,45188
50,1:58.47,118.47,45192
64,2:34.77,154.77,47532
64,2:39.38,159.38,48108
64,2:41.84,161.84,47540
64,2:33.40,153.40,47780
64,2:42.31,162.31,47608
64,2:35.42,155.42,47672
64,2:31.84,151.84,47536
64,2:29.49,149.49,47684
64,2:28.41,148.41,47496
64,2:32.42,152.42,47468
122,4:39.61,279.61,60544
122,4:40.95,280.95,61796
122,4:42.64,282.64,60604
122,4:41.34,281.34,60468
122,4:42.42,282.42,60512
122,4:40.99,280.99,60392
122,4:46.53,286.53,60348
122,4:41.01,281.01,60544
122,4:44.66,284.66,62044
122,4:42.55,282.55,60632
142,4:27.38,267.38,72460
142,4:28.25,268.25,66080
142,4:25.88,265.88,66060
142,4:23.92,263.92,66148
142,4:22.38,262.38,66132
142,4:26.69,266.69,65948
142,4:25.08,265.08,66028
142,4:21.37,261.37,66028
142,5:06.94,306.94,67360
142,4:47.67,287.67,66060
142,5:42.21,342.21,72528
142,5:29.66,329.66,74604
