DataSize, ElaspedTimens3, ElapsedSecns3, PeakMemns3
222,0:37.37,37.37,46688
222,0:37.36,37.36,46580
222,0:37.34,37.34,46536
224,0:37.67,37.67,47008
224,0:37.69,37.69,46788
224,0:37.70,37.70,46876
244,0:41.00,41.00,47816
244,0:41.00,41.00,47552
244,0:40.99,40.99,47952
250,0:41.97,41.97,48116
250,0:42.01,42.01,47996
250,0:41.98,41.98,48012
252,0:42.32,42.32,48168
252,0:42.37,42.37,48176
252,0:42.32,42.32,47980
290,0:48.62,48.62,50496
290,0:48.65,48.65,50368
290,0:48.63,48.63,50376
302,0:50.64,50.64,50608
302,0:50.64,50.64,50472
302,0:50.62,50.62,50480
312,0:52.31,52.31,50856
312,0:52.27,52.27,51000
312,0:52.28,52.28,50968
328,0:54.96,54.96,51600
328,0:54.92,54.92,51648
328,0:54.91,54.91,51720
354,0:59.21,59.21,53060
354,0:59.24,59.24,52832
354,0:59.25,59.25,53000
356,0:59.55,59.55,52948
356,0:59.56,59.56,53036
356,0:59.55,59.55,52928
382,1:03.84,63.84,54256
382,1:03.81,63.81,54316
382,1:03.88,63.88,54300
454,1:15.77,75.77,57744
454,1:15.71,75.71,57528
454,1:15.72,75.72,57516
464,1:17.43,77.43,58192
464,1:17.44,77.44,58208
464,1:17.45,77.45,58116
474,1:19.07,79.07,58668
474,1:19.12,79.12,58716
474,1:19.26,79.26,58640
522,1:27.04,87.04,64976
522,1:27.07,87.07,64872
522,1:27.00,87.00,64740
568,1:34.58,94.58,65072
568,1:34.60,94.60,64888
568,1:34.64,94.64,64884
578,1:36.37,96.37,64964
578,1:36.33,96.33,64876
578,1:36.24,96.24,65116
692,1:55.04,115.04,68920
692,1:55.10,115.10,68776
692,1:55.11,115.11,68900
730,2:01.25,121.25,70732
730,2:01.64,121.64,70788
730,2:01.56,121.56,70512
846,2:20.54,140.54,76256
846,2:20.67,140.67,76272
846,2:20.61,140.61,76212
934,2:35.15,155.15,80372
934,2:35.11,155.11,80332
934,2:35.09,155.09,80364
942,2:36.59,156.59,80696
942,2:36.46,156.46,80676
942,2:36.40,156.40,80568
952,2:38.05,158.05,81028
952,2:38.36,158.36,81140
952,2:38.24,158.24,81196
1012,2:48.04,168.04,84044
1012,2:48.01,168.01,84116
1012,2:48.06,168.06,84048
100,0:17.19,17.19,42136
100,0:17.17,17.17,41968
100,0:17.17,17.17,41772
1060,2:56.16,176.16,93696
1060,2:56.07,176.07,93592
1060,2:55.96,175.96,93560
142,0:24.17,24.17,43668
142,0:24.13,24.13,43600
142,0:24.15,24.15,43684
146,0:24.80,24.80,43796
146,0:24.79,24.79,43884
146,0:24.80,24.80,43712
