DataSize, ElaspedTimesg, ElapsedSecsg, PeakMemsg
222,0:00.03,0.03,28356
222,0:00.03,0.03,28252
222,0:00.03,0.03,28592
224,0:00.03,0.03,28284
224,0:00.03,0.03,28476
224,0:00.03,0.03,28356
244,0:00.03,0.03,28248
244,0:00.03,0.03,28312
244,0:00.03,0.03,28388
250,0:00.03,0.03,28280
250,0:00.03,0.03,28356
250,0:00.03,0.03,28352
252,0:00.03,0.03,28356
252,0:00.03,0.03,28584
252,0:00.03,0.03,28580
290,0:00.03,0.03,28456
290,0:00.03,0.03,28452
290,0:00.03,0.03,28356
302,0:00.03,0.03,28580
302,0:00.03,0.03,28316
302,0:00.03,0.03,28428
312,0:00.03,0.03,28284
312,0:00.03,0.03,28248
312,0:00.03,0.03,28280
328,0:00.03,0.03,28404
328,0:00.03,0.03,28452
328,0:00.03,0.03,28576
354,0:00.03,0.03,28384
354,0:00.03,0.03,28452
354,0:00.03,0.03,28428
356,0:00.05,0.05,28548
356,0:00.03,0.03,28384
356,0:00.03,0.03,28564
382,0:00.03,0.03,28288
382,0:00.03,0.03,28316
382,0:00.03,0.03,28384
454,0:00.03,0.03,28456
454,0:00.03,0.03,28356
454,0:00.03,0.03,28576
464,0:00.03,0.03,28488
464,0:00.03,0.03,28428
464,0:00.03,0.03,28552
474,0:00.03,0.03,28284
474,0:00.03,0.03,28252
474,0:00.03,0.03,28352
522,0:00.03,0.03,28472
522,0:00.03,0.03,28328
522,0:00.03,0.03,28384
568,0:00.03,0.03,28328
568,0:00.03,0.03,28392
568,0:00.03,0.03,28472
578,0:00.03,0.03,28316
578,0:00.03,0.03,28504
578,0:00.03,0.03,28460
692,0:00.03,0.03,28472
692,0:00.03,0.03,28324
692,0:00.03,0.03,28544
730,0:00.03,0.03,28352
730,0:00.03,0.03,28388
730,0:00.03,0.03,28396
846,0:00.03,0.03,28352
846,0:00.03,0.03,28552
846,0:00.03,0.03,28248
934,0:00.03,0.03,28352
934,0:00.03,0.03,28436
934,0:00.03,0.03,28352
942,0:00.03,0.03,28564
942,0:00.03,0.03,28456
942,0:00.03,0.03,28572
952,0:00.03,0.03,28472
952,0:00.03,0.03,28556
952,0:00.03,0.03,28432
1012,0:00.03,0.03,28576
1012,0:00.03,0.03,28588
1012,0:00.03,0.03,28252
100,0:00.03,0.03,28440
100,0:00.03,0.03,28356
100,0:00.03,0.03,28560
1060,0:00.03,0.03,28460
1060,0:00.03,0.03,28352
1060,0:00.03,0.03,28300
142,0:00.03,0.03,28352
142,0:00.03,0.03,28484
142,0:00.03,0.03,28268
146,0:00.03,0.03,28356
146,0:00.03,0.03,28436
146,0:00.03,0.03,28376
