DataSize, ElaspedTimens3, ElapsedSecns3, PeakMemns3
222,1:14.14,74.14,60168
222,1:14.12,74.12,60172
222,1:14.14,74.14,60240
222,1:14.09,74.09,60276
222,1:14.17,74.17,60376
222,1:14.12,74.12,60056
222,1:14.19,74.19,60228
224,1:14.83,74.83,60564
224,1:14.83,74.83,60420
224,1:14.83,74.83,60524
224,1:14.84,74.84,60400
224,1:14.82,74.82,60216
224,1:14.82,74.82,60328
224,1:14.74,74.74,60468
244,1:21.41,81.41,62204
244,1:21.50,81.50,62184
244,1:21.44,81.44,62108
244,1:21.41,81.41,62172
244,1:21.58,81.58,62232
244,1:21.45,81.45,62048
244,1:21.39,81.39,62112
250,1:23.46,83.46,62916
250,1:23.44,83.44,62820
250,1:23.38,83.38,62784
250,1:23.38,83.38,62776
250,1:23.42,83.42,62916
250,1:23.41,83.41,63012
250,1:23.31,83.31,62776
252,1:24.04,84.04,63076
252,1:24.06,84.06,63000
252,1:24.09,84.09,63064
252,1:24.08,84.08,63032
252,1:24.08,84.08,62876
252,1:24.01,84.01,63072
252,1:24.11,84.11,63052
290,1:36.61,96.61,67856
290,1:36.71,96.71,67844
290,1:36.74,96.74,67712
290,1:36.78,96.78,67716
290,1:36.73,96.73,67948
290,1:36.66,96.66,67880
290,1:36.59,96.59,67944
302,1:40.70,100.70,67988
302,1:40.74,100.74,67752
302,1:40.68,100.68,67952
302,1:40.62,100.62,67992
302,1:40.73,100.73,67888
302,1:40.67,100.67,67936
302,1:40.71,100.71,67768
312,1:43.86,103.86,68508
312,1:44.04,104.04,68664
312,1:44.09,104.09,68552
312,1:43.93,103.93,68732
312,1:44.01,104.01,68772
312,1:43.98,103.98,68520
312,1:43.90,103.90,68708
356,1:58.50,118.50,72692
356,1:58.47,118.47,72848
356,1:58.52,118.52,72852
356,1:58.50,118.50,72888
356,1:58.58,118.58,72852
356,1:58.54,118.54,72916
356,1:58.53,118.53,72868
382,2:07.03,127.03,75256
382,2:07.00,127.00,75120
382,2:07.11,127.11,75468
382,2:07.13,127.13,75300
382,2:07.10,127.10,75376
382,2:07.18,127.18,75276
382,2:07.20,127.20,75140
464,2:34.37,154.37,83020
464,2:34.22,154.22,83128
464,2:34.27,154.27,82936
464,2:34.49,154.49,83056
464,2:34.35,154.35,82992
464,2:34.37,154.37,82848
464,2:34.09,154.09,83112
474,2:37.69,157.69,83828
474,2:37.71,157.71,83956
474,2:37.53,157.53,83836
474,2:37.54,157.54,84020
474,2:37.56,157.56,83940
474,2:37.76,157.76,83960
474,2:37.67,157.67,84064
522,2:53.48,173.48,96572
522,2:53.63,173.63,96568
522,2:53.65,173.65,96448
522,2:53.59,173.59,96536
522,2:53.65,173.65,96672
522,2:53.45,173.45,96544
522,2:53.40,173.40,96428
578,3:12.25,192.25,96632
578,3:12.04,192.04,96540
578,3:12.02,192.02,96388
578,3:11.98,191.98,96532
578,3:12.02,192.02,96572
578,3:12.00,192.00,96444
578,3:12.10,192.10,96532
692,3:50.02,230.02,104640
692,3:49.78,229.78,104612
692,3:49.75,229.75,104432
692,3:49.75,229.75,104536
692,3:49.84,229.84,104508
692,3:49.76,229.76,104484
692,3:49.77,229.77,104536
730,4:02.01,242.01,108228
730,4:02.57,242.57,108156
730,4:02.20,242.20,107952
730,4:02.39,242.39,107972
730,4:02.29,242.29,107956
730,4:02.01,242.01,108136
730,4:02.12,242.12,108328
934,5:09.45,309.45,127440
934,5:09.72,309.72,127420
934,5:10.01,310.01,127496
934,5:09.68,309.68,127428
934,5:09.74,309.74,127220
934,5:09.99,309.99,127404
934,5:09.58,309.58,127228
942,5:12.27,312.27,128104
942,5:12.36,312.36,128340
942,5:12.28,312.28,128064
942,5:12.71,312.71,128016
942,5:12.39,312.39,128056
942,5:12.68,312.68,128132
942,5:12.10,312.10,128020
952,5:15.66,315.66,129072
952,5:15.66,315.66,129104
952,5:15.94,315.94,129268
952,5:15.59,315.59,128964
952,5:15.61,315.61,129084
952,5:15.71,315.71,128972
952,5:15.58,315.58,129132
100,0:33.76,33.76,47064
100,0:33.76,33.76,47136
100,0:33.78,33.78,47180
100,0:33.76,33.76,47080
100,0:33.77,33.77,47148
100,0:33.77,33.77,46948
100,0:33.75,33.75,47068
1060,5:51.49,351.49,153928
1060,5:51.31,351.31,153996
1060,5:52.01,352.01,154004
1060,5:51.83,351.83,153892
1060,5:51.29,351.29,154000
1060,5:51.55,351.55,154092
1060,5:51.87,351.87,153820
