DataSize, ElaspedTimesg, ElapsedSecsg, PeakMemsg
222,0:00.03,0.03,28320
222,0:00.03,0.03,28424
222,0:00.03,0.03,28448
222,0:00.03,0.03,28468
222,0:00.03,0.03,28448
222,0:00.03,0.03,28232
222,0:00.03,0.03,28472
224,0:00.03,0.03,28476
224,0:00.03,0.03,28284
224,0:00.03,0.03,28388
224,0:00.03,0.03,28452
224,0:00.03,0.03,28312
224,0:00.03,0.03,28488
224,0:00.03,0.03,28368
244,0:00.03,0.03,28556
244,0:00.03,0.03,28464
244,0:00.03,0.03,28352
244,0:00.03,0.03,28552
244,0:00.03,0.03,28432
244,0:00.03,0.03,28284
244,0:00.03,0.03,28556
250,0:00.03,0.03,28412
250,0:00.03,0.03,28196
250,0:00.03,0.03,28284
250,0:00.03,0.03,28456
250,0:00.03,0.03,28248
250,0:00.03,0.03,28504
250,0:00.03,0.03,28548
252,0:00.03,0.03,28472
252,0:00.03,0.03,28576
252,0:00.03,0.03,28484
252,0:00.03,0.03,28280
252,0:00.03,0.03,28468
252,0:00.03,0.03,28284
252,0:00.03,0.03,28484
290,0:00.03,0.03,28568
290,0:00.03,0.03,28580
290,0:00.03,0.03,28408
290,0:00.03,0.03,28284
290,0:00.03,0.03,28484
290,0:00.03,0.03,28320
290,0:00.03,0.03,28340
302,0:00.03,0.03,28280
302,0:00.03,0.03,28576
302,0:00.03,0.03,28468
302,0:00.03,0.03,28564
302,0:00.03,0.03,28352
302,0:00.03,0.03,28352
302,0:00.03,0.03,28384
312,0:00.03,0.03,28356
312,0:00.03,0.03,28368
312,0:00.03,0.03,28556
312,0:00.03,0.03,28280
312,0:00.03,0.03,28460
312,0:00.03,0.03,28452
312,0:00.03,0.03,28432
356,0:00.03,0.03,28316
356,0:00.03,0.03,28284
356,0:00.03,0.03,28496
356,0:00.03,0.03,28456
356,0:00.03,0.03,28568
356,0:00.03,0.03,28564
356,0:00.03,0.03,28432
382,0:00.03,0.03,28320
382,0:00.03,0.03,28388
382,0:00.03,0.03,28536
382,0:00.03,0.03,28532
382,0:00.03,0.03,28472
382,0:00.03,0.03,28428
382,0:00.03,0.03,28576
464,0:00.03,0.03,28568
464,0:00.03,0.03,28296
464,0:00.03,0.03,28448
464,0:00.03,0.03,28452
464,0:00.03,0.03,28352
464,0:00.03,0.03,28352
464,0:00.03,0.03,28312
474,0:00.03,0.03,28568
474,0:00.03,0.03,28580
474,0:00.03,0.03,28432
474,0:00.03,0.03,28492
474,0:00.03,0.03,28580
474,0:00.03,0.03,28388
474,0:00.03,0.03,28464
522,0:00.03,0.03,28248
522,0:00.03,0.03,28432
522,0:00.03,0.03,28248
522,0:00.03,0.03,28280
522,0:00.03,0.03,28356
522,0:00.03,0.03,28252
522,0:00.03,0.03,28568
578,0:00.03,0.03,28352
578,0:00.03,0.03,28368
578,0:00.03,0.03,28252
578,0:00.03,0.03,28468
578,0:00.03,0.03,28428
578,0:00.03,0.03,28556
578,0:00.03,0.03,28424
692,0:00.03,0.03,28556
692,0:00.03,0.03,28316
692,0:00.03,0.03,28556
692,0:00.03,0.03,28384
692,0:00.03,0.03,28488
692,0:00.03,0.03,28284
692,0:00.03,0.03,28428
730,0:00.03,0.03,28404
730,0:00.03,0.03,28280
730,0:00.03,0.03,28452
730,0:00.03,0.03,28284
730,0:00.03,0.03,28284
730,0:00.03,0.03,28352
730,0:00.03,0.03,28488
934,0:00.03,0.03,28284
934,0:00.03,0.03,28548
934,0:00.03,0.03,28284
934,0:00.03,0.03,28340
934,0:00.03,0.03,28468
934,0:00.03,0.03,28456
934,0:00.03,0.03,28360
942,0:00.03,0.03,28468
942,0:00.03,0.03,28456
942,0:00.03,0.03,28488
942,0:00.03,0.03,28248
942,0:00.03,0.03,28592
942,0:00.03,0.03,28360
942,0:00.03,0.03,28248
952,0:00.03,0.03,28336
952,0:00.03,0.03,28484
952,0:00.03,0.03,28248
952,0:00.03,0.03,28252
952,0:00.03,0.03,28456
952,0:00.03,0.03,28428
952,0:00.03,0.03,28576
100,0:00.03,0.03,28580
100,0:00.03,0.03,28428
100,0:00.03,0.03,28568
100,0:00.03,0.03,28484
100,0:00.03,0.03,28356
100,0:00.03,0.03,28252
100,0:00.03,0.03,28432
1060,0:00.03,0.03,28388
1060,0:00.03,0.03,28428
1060,0:00.03,0.03,28572
1060,0:00.03,0.03,28576
1060,0:00.03,0.03,28384
1060,0:00.03,0.03,28312
1060,0:00.03,0.03,28284
