DataSize, ElaspedTimens3, ElapsedSecns3, PeakMemns3
20,0:23.21,23.21,44216
20,0:23.09,23.09,44248
20,0:23.13,23.13,44308
20,0:23.18,23.18,44268
20,0:23.13,23.13,44240
20,0:23.09,23.09,44220
20,0:23.11,23.11,44332
20,0:23.16,23.16,44352
20,0:23.18,23.18,44320
32,0:36.62,36.62,45744
32,0:36.54,36.54,45744
32,0:36.62,36.62,45848
32,0:36.60,36.60,45852
32,0:36.60,36.60,45884
32,0:36.53,36.53,45816
32,0:36.68,36.68,45732
32,0:36.62,36.62,45940
32,0:36.53,36.53,45836
32,0:36.56,36.56,45744
42,0:47.61,47.61,47112
42,0:47.78,47.78,47152
42,0:47.67,47.67,47292
42,0:47.69,47.69,47064
42,0:47.78,47.78,47044
42,0:47.83,47.83,47116
42,0:47.88,47.88,47120
42,0:47.73,47.73,47192
42,0:47.73,47.73,47156
42,0:47.74,47.74,47128
62,1:10.03,70.03,50768
62,1:10.17,70.17,50960
62,1:10.12,70.12,50932
62,1:10.17,70.17,50972
62,1:10.28,70.28,50832
62,1:10.02,70.02,50868
62,1:10.07,70.07,50960
62,1:10.14,70.14,50952
62,1:10.04,70.04,50696
62,1:10.03,70.03,51072
64,1:12.41,72.41,51340
64,1:12.41,72.41,51204
64,1:12.23,72.23,51428
64,1:12.19,72.19,51156
64,1:12.34,72.34,51456
64,1:12.36,72.36,51328
64,1:12.29,72.29,51256
64,1:12.36,72.36,51300
64,1:12.23,72.23,51096
64,1:12.40,72.40,51296
70,1:19.01,79.01,53312
70,1:19.11,79.11,53104
70,1:19.17,79.17,53356
70,1:19.17,79.17,53384
70,1:19.04,79.04,53352
70,1:18.87,78.87,53388
70,1:18.98,78.98,53368
70,1:19.02,79.02,53328
70,1:19.04,79.04,53388
70,1:18.99,78.99,53416
72,1:21.27,81.27,53328
72,1:21.83,81.83,53376
72,1:21.93,81.93,53320
72,1:21.38,81.38,53364
72,1:21.31,81.31,53232
72,1:21.25,81.25,53296
72,1:21.26,81.26,53416
72,1:21.21,81.21,53204
72,1:21.18,81.18,53100
72,1:21.22,81.22,53348
72,1:21.43,81.43,53388
72,1:21.28,81.28,53328
72,1:21.35,81.35,53104
72,1:21.21,81.21,53212
72,1:21.49,81.49,53100
72,1:21.19,81.19,53336
72,1:22.31,82.31,53516
72,1:21.31,81.31,53212
72,1:21.39,81.39,53212
72,1:21.47,81.47,53232
76,1:25.69,85.69,53508
76,1:25.74,85.74,53452
76,1:25.80,85.80,53704
76,1:25.85,85.85,53468
76,1:25.87,85.87,53624
76,1:25.88,85.88,53468
76,1:25.68,85.68,53452
76,1:25.86,85.86,53600
76,1:25.72,85.72,53596
76,1:25.78,85.78,53456
80,1:30.31,90.31,54268
80,1:30.12,90.12,54320
80,1:30.23,90.23,54368
80,1:30.35,90.35,54336
80,1:30.30,90.30,54328
80,1:30.17,90.17,54280
80,1:30.09,90.09,54344
80,1:30.11,90.11,54304
80,1:29.94,89.94,54352
80,1:30.13,90.13,54300
84,1:34.63,94.63,55116
84,1:34.48,94.48,55000
84,1:34.59,94.59,54864
84,1:34.84,94.84,55012
84,1:34.65,94.65,54944
84,1:34.68,94.68,54992
84,1:34.53,94.53,54876
84,1:34.73,94.73,55024
84,1:34.78,94.78,54916
84,1:34.77,94.77,55116
94,1:45.77,105.77,57020
94,1:45.74,105.74,56968
94,1:46.02,106.02,56816
94,1:45.87,105.87,57008
94,1:45.97,105.97,56860
94,1:45.67,105.67,56892
94,1:45.73,105.73,56720
94,1:45.85,105.85,57112
94,1:45.76,105.76,56836
94,1:45.70,105.70,56964
102,1:55.06,115.06,58612
102,1:54.96,114.96,58428
102,1:54.92,114.92,58440
102,1:55.11,115.11,58472
102,1:54.82,114.82,58512
102,1:54.83,114.83,58484
102,1:54.94,114.94,58484
102,1:54.90,114.90,58328
102,1:54.81,114.81,58420
102,1:54.97,114.97,58520
112,2:05.94,125.94,60368
112,2:06.06,126.06,60420
112,2:06.11,126.11,60280
112,2:05.85,125.85,60176
112,2:06.06,126.06,60332
112,2:05.91,125.91,60360
112,2:05.96,125.96,60228
112,2:05.95,125.95,60164
112,2:05.94,125.94,60244
112,2:06.15,126.15,60316
