DataSize, ElaspedTimesg, ElapsedSecsg, PeakMemsg
20,0:00.03,0.03,28308
20,0:00.03,0.03,28428
20,0:00.03,0.03,28532
20,0:00.03,0.03,28360
20,0:00.03,0.03,28572
20,0:00.03,0.03,28416
20,0:00.03,0.03,28464
20,0:00.03,0.03,28364
20,0:00.03,0.03,28580
32,0:00.03,0.03,28436
32,0:00.03,0.03,28424
32,0:00.03,0.03,28416
32,0:00.03,0.03,28504
32,0:00.03,0.03,28532
32,0:00.03,0.03,28572
32,0:00.03,0.03,28392
32,0:00.03,0.03,28360
32,0:00.03,0.03,28596
32,0:00.03,0.03,28464
42,0:00.03,0.03,28592
42,0:00.03,0.03,28580
42,0:00.03,0.03,28572
42,0:00.03,0.03,28460
42,0:00.03,0.03,28208
42,0:00.03,0.03,28664
42,0:00.03,0.03,28428
42,0:00.03,0.03,28436
42,0:00.03,0.03,28608
42,0:00.03,0.03,28572
62,0:00.03,0.03,28428
62,0:00.03,0.03,28364
62,0:00.03,0.03,28428
62,0:00.03,0.03,28488
62,0:00.03,0.03,28524
62,0:00.03,0.03,28556
62,0:00.03,0.03,28596
62,0:00.03,0.03,28436
62,0:00.03,0.03,28440
62,0:00.03,0.03,28556
64,0:00.03,0.03,28596
64,0:00.03,0.03,28432
64,0:00.03,0.03,28308
64,0:00.03,0.03,28440
64,0:00.03,0.03,28360
64,0:00.03,0.03,28444
64,0:00.03,0.03,28444
64,0:00.03,0.03,28532
64,0:00.03,0.03,28460
64,0:00.03,0.03,28444
70,0:00.03,0.03,28596
70,0:00.03,0.03,28664
70,0:00.03,0.03,28392
70,0:00.03,0.03,28572
70,0:00.03,0.03,28280
70,0:00.03,0.03,28440
70,0:00.03,0.03,28388
70,0:00.03,0.03,28168
70,0:00.03,0.03,28364
70,0:00.03,0.03,28208
72,0:00.03,0.03,28564
72,0:00.03,0.03,28432
72,0:00.03,0.03,28312
72,0:00.03,0.03,28524
72,0:00.03,0.03,28468
72,0:00.03,0.03,28572
72,0:00.03,0.03,28436
72,0:00.03,0.03,28428
72,0:00.03,0.03,28412
72,0:00.03,0.03,28572
72,0:00.03,0.03,28596
72,0:00.03,0.03,28564
72,0:00.03,0.03,28652
72,0:00.03,0.03,28360
72,0:00.03,0.03,28528
72,0:00.03,0.03,28312
72,0:00.03,0.03,28528
72,0:00.03,0.03,28480
72,0:00.03,0.03,28584
72,0:00.03,0.03,28444
76,0:00.03,0.03,28652
76,0:00.03,0.03,28428
76,0:00.03,0.03,28416
76,0:00.03,0.03,28576
76,0:00.03,0.03,28596
76,0:00.03,0.03,28212
76,0:00.03,0.03,28664
76,0:00.03,0.03,28360
76,0:00.03,0.03,28528
76,0:00.03,0.03,28548
80,0:00.03,0.03,28364
80,0:00.03,0.03,28464
80,0:00.03,0.03,28208
80,0:00.03,0.03,28444
80,0:00.03,0.03,28580
80,0:00.03,0.03,28660
80,0:00.03,0.03,28460
80,0:00.03,0.03,28596
80,0:00.03,0.03,28432
80,0:00.03,0.03,28484
84,0:00.03,0.03,28560
84,0:00.03,0.03,28600
84,0:00.03,0.03,28432
84,0:00.03,0.03,28396
84,0:00.03,0.03,28364
84,0:00.03,0.03,28340
84,0:00.03,0.03,28308
84,0:00.03,0.03,28388
84,0:00.03,0.03,28164
84,0:00.03,0.03,28524
94,0:00.03,0.03,28376
94,0:00.03,0.03,28432
94,0:00.03,0.03,28436
94,0:00.03,0.03,28440
94,0:00.03,0.03,28388
94,0:00.03,0.03,28536
94,0:00.03,0.03,28500
94,0:00.03,0.03,28596
94,0:00.03,0.03,28464
94,0:00.03,0.03,28576
102,0:00.03,0.03,28208
102,0:00.03,0.03,28412
102,0:00.03,0.03,28432
102,0:00.03,0.03,28576
102,0:00.03,0.03,28664
102,0:00.03,0.03,28312
102,0:00.03,0.03,28524
102,0:00.03,0.03,28560
102,0:00.03,0.03,28676
102,0:00.03,0.03,28548
112,0:00.03,0.03,28328
112,0:00.03,0.03,28308
112,0:00.03,0.03,28360
112,0:00.03,0.03,28536
112,0:00.03,0.03,28576
112,0:00.03,0.03,28312
112,0:00.03,0.03,28312
112,0:00.03,0.03,28660
112,0:00.03,0.03,28560
112,0:00.03,0.03,28432
