LinkSize, ElaspedTimens3, ElapsedSecns3, PeakMemns3, AvgTotalMemns3
1,1:06.86,66.86,58152,0
1,1:06.84,66.84,58204,0
1,1:06.91,66.91,58136,0
1,1:06.88,66.88,58152,0
1,1:06.81,66.81,58112,0
1,1:06.83,66.83,58112,0
1,1:06.85,66.85,58112,0
1,1:06.87,66.87,58152,0
1,1:06.86,66.86,58092,0
1,1:06.89,66.89,58176,0
2,2:40.03,160.03,76936,0
2,2:39.98,159.98,76960,0
2,2:39.99,159.99,76896,0
2,2:39.83,159.83,77012,0
2,2:40.21,160.21,76716,0
2,2:40.09,160.09,76956,0
2,2:40.51,160.51,76768,0
2,2:40.01,160.01,76984,0
2,2:40.22,160.22,76832,0
2,2:40.34,160.34,76948,0
4,21:37.89,1297.89,119892,0
4,21:34.99,1294.99,119716,0
4,21:43.66,1303.66,119960,0
4,21:33.72,1293.72,119676,0
4,21:26.76,1286.76,119808,0
4,21:30.94,1290.94,119904,0
4,21:31.54,1291.54,119812,0
4,21:34.35,1294.35,119896,0
4,21:30.41,1290.41,119916,0
4,21:33.96,1293.96,119860,0
6,56:12.15,3372.15,166908,0
6,1:00:25,3625.39,166532,0
6,1:00:16,3616.11,166304,0
6,1:00:15,3615.91,166256,0
