LinkSize, ElaspedTimesg, ElapsedSecsg, PeakMemsg, AvgTotalMemsg
1,0:00.06,0.06,28436,0
1,0:00.03,0.03,28292,0
1,0:00.03,0.03,28292,0
1,0:00.03,0.03,28424,0
1,0:00.03,0.03,28428,0
1,0:00.03,0.03,28224,0
1,0:00.03,0.03,28584,0
1,0:00.03,0.03,28600,0
1,0:00.03,0.03,28624,0
1,0:00.03,0.03,28368,0
2,0:00.03,0.03,28624,0
2,0:00.03,0.03,28460,0
2,0:00.03,0.03,28164,0
2,0:00.03,0.03,28424,0
2,0:00.03,0.03,28420,0
2,0:00.03,0.03,28132,0
2,0:00.03,0.03,28432,0
2,0:00.03,0.03,28132,0
2,0:00.03,0.03,28584,0
2,0:00.03,0.03,28232,0
4,0:00.03,0.03,28412,0
4,0:00.14,0.14,28432,0
4,0:00.03,0.03,28432,0
4,0:00.03,0.03,28272,0
4,0:00.03,0.03,28428,0
4,0:00.03,0.03,28364,0
4,0:00.03,0.03,28420,0
4,0:00.03,0.03,28228,0
4,0:00.03,0.03,28428,0
4,0:00.03,0.03,28236,0
6,0:00.05,0.05,28192,0
6,0:00.46,0.46,28064,0
6,0:00.46,0.46,27968,0
6,0:00.45,0.45,27696,0
