LinkSize, ElaspedTimesg, ElapsedSecsg, PeakMemsg
1,0:00.04,0.04,22840
1,0:00.03,0.03,22772
1,0:00.04,0.04,22780
1,0:00.03,0.03,22860
1,0:00.03,0.03,22828
1,0:00.04,0.04,22672
1,0:00.06,0.06,22764
1,0:00.03,0.03,22788
1,0:00.04,0.04,22632
1,0:00.03,0.03,22792
2,0:00.04,0.04,22764
2,0:00.03,0.03,22840
2,0:00.03,0.03,22836
2,0:00.03,0.03,22776
2,0:00.04,0.04,22820
2,0:00.03,0.03,22772
2,0:00.03,0.03,22848
2,0:00.03,0.03,22792
2,0:00.03,0.03,22916
2,0:00.04,0.04,22864
4,0:00.07,0.07,22764
4,0:00.03,0.03,22736
4,0:00.03,0.03,22744
4,0:00.04,0.04,22676
4,0:00.04,0.04,22864
4,0:04.66,4.66,22776
4,0:00.03,0.03,22644
4,0:00.04,0.04,22916
4,0:00.03,0.03,22832
4,0:00.09,0.09,22772
6,0:00.04,0.04,22776
6,0:00.04,0.04,22676
6,0:00.03,0.03,22708
6,0:00.05,0.05,22732
6,0:00.03,0.03,22504
6,0:00.03,0.03,22720
6,0:00.03,0.03,22724
6,0:00.03,0.03,22556
6,0:00.03,0.03,22568
6,0:00.03,0.03,22556
8,0:01.11,1.11,22644
8,0:00.03,0.03,22600
8,0:00.03,0.03,22812
8,0:00.03,0.03,22720
8,0:00.03,0.03,22600
8,0:00.03,0.03,22692
8,0:00.03,0.03,22656
8,0:00.03,0.03,22684
8,0:00.03,0.03,22600
8,0:00.03,0.03,22604
10,0:00.26,0.26,22700
10,0:00.03,0.03,22696
10,0:00.03,0.03,22696
10,0:00.03,0.03,22564
10,0:00.03,0.03,22720
10,0:00.03,0.03,22696
10,0:00.03,0.03,22688
10,0:00.03,0.03,22688
10,0:00.03,0.03,22720
10,0:00.03,0.03,22688
