LinkSize, ElaspedTimens3, ElapsedSecns3, PeakMemns3, AvgTotalMemns3
0,0:33.71,33.71,47448,0
0,0:33.69,33.69,47232,0
0,0:33.68,33.68,47516,0
2,0:51.96,51.96,57696,0
2,0:52.00,52.00,57940,0
2,0:52.00,52.00,57964,0
4,1:30.08,90.08,81828,0
4,1:30.03,90.03,82064,0
4,1:30.09,90.09,82036,0
6,2:08.31,128.31,109108,0
6,2:08.49,128.49,109052,0
6,2:08.52,128.52,109224,0
8,2:47.22,167.22,132396,0
8,2:47.00,167.00,132360,0
8,2:47.17,167.17,132356,0
10,3:26.00,206.00,156808,0
10,3:25.96,205.96,156980,0
10,3:25.73,205.73,156832,0
