LinkSize, ElaspedTimesg, ElapsedSecsg, PeakMemsg, AvgTotalMemsg
0,0:00.23,0.23,28344,0
0,0:00.03,0.03,28336,0
0,0:00.03,0.03,28340,0
0,0:00.03,0.03,28396,0
0,0:00.03,0.03,28404,0
0,0:00.03,0.03,28464,0
0,0:00.03,0.03,28464,0
2,0:00.03,0.03,28392,0
2,0:00.03,0.03,28260,0
2,0:00.03,0.03,28408,0
2,0:00.03,0.03,28184,0
2,0:00.03,0.03,28408,0
2,0:00.03,0.03,28216,0
2,0:00.03,0.03,28564,0
4,0:00.03,0.03,28388,0
4,0:00.03,0.03,28512,0
4,0:00.03,0.03,28508,0
4,0:00.03,0.03,28508,0
4,0:00.03,0.03,28392,0
4,0:00.03,0.03,28184,0
4,0:00.03,0.03,28472,0
6,0:00.03,0.03,28428,0
6,0:00.03,0.03,28464,0
6,0:00.03,0.03,28340,0
6,0:00.03,0.03,28212,0
6,0:00.03,0.03,28400,0
6,0:00.03,0.03,28524,0
6,0:00.03,0.03,28444,0
8,0:00.03,0.03,28436,0
8,0:00.03,0.03,28432,0
8,0:00.03,0.03,28168,0
8,0:00.03,0.03,28456,0
8,0:00.03,0.03,28496,0
8,0:00.03,0.03,28324,0
8,0:00.03,0.03,28468,0
10,0:00.03,0.03,28368,0
10,0:00.03,0.03,28372,0
10,0:00.03,0.03,28344,0
10,0:00.03,0.03,28188,0
10,0:00.03,0.03,28328,0
10,0:00.03,0.03,28344,0
10,0:00.03,0.03,28452,0
