LinkSize, ElaspedTimens3, ElapsedSecns3, PeakMemns3, AvgTotalMemns3
1,2:12.95,132.95,77312,0
1,2:12.81,132.81,77384,0
1,2:12.95,132.95,77540,0
1,2:12.93,132.93,77176,0
1,2:13.09,133.09,77388,0
1,2:12.98,132.98,77540,0
1,2:13.03,133.03,77332,0
2,3:25.49,205.49,114604,0
2,3:25.55,205.55,114532,0
2,3:25.60,205.60,114572,0
2,3:25.25,205.25,114720,0
2,3:25.80,205.80,114596,0
2,3:25.48,205.48,114624,0
2,3:25.57,205.57,114588,0
4,5:56.41,356.41,195096,0
4,5:56.53,356.53,195308,0
4,5:56.72,356.72,195296,0
4,5:57.00,357.00,195372,0
4,5:56.82,356.82,195140,0
4,5:56.49,356.49,195400,0
4,5:56.74,356.74,195348,0
6,8:28.81,508.81,281420,0
6,8:28.84,508.84,281324,0
6,8:29.21,509.21,281312,0
6,8:29.40,509.40,281300,0
6,8:29.61,509.61,281220,0
6,8:28.92,508.92,281416,0
6,8:29.39,509.39,281240,0
8,11:01.98,661.98,358948,0
8,11:02.19,662.19,359152,0
8,11:02.66,662.66,358956,0
8,11:02.30,662.30,358804,0
8,11:02.10,662.10,358836,0
8,11:01.66,661.66,358792,0
8,11:02.54,662.54,358948,0
10,13:36.83,816.83,439800,0
10,13:36.57,816.57,439952,0
10,13:36.52,816.52,440080,0
10,13:36.87,816.87,440108,0
10,13:37.67,817.67,439844,0
10,13:37.45,817.45,439844,0
10,13:37.26,817.26,439928,0
